model,replicate,trajectory,variable,final_mean,final_window_std
classic,27,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,27,B,regolith_fraction,0.8628637992261148,4.440892098500626e-16
classic,27,B,carbon_memory,0.23593883836348703,1.6653345369377348e-16
classic,27,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,28,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,28,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,28,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,28,A,regolith_fraction,0.8720806876444313,5.551115123125783e-16
classic,28,A,carbon_memory,0.4024418252696698,9.43689570931383e-16
classic,28,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,28,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,28,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,28,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,28,B,regolith_fraction,0.8720806876444313,5.551115123125783e-16
classic,28,B,carbon_memory,0.4024418252696698,9.43689570931383e-16
classic,28,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,29,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,29,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,29,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,29,A,regolith_fraction,0.8428179635246051,7.771561172376096e-16
classic,29,A,carbon_memory,0.25357332561700113,2.7755575615628914e-16
classic,29,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,29,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,29,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,29,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,29,B,regolith_fraction,0.8428179635246051,7.771561172376096e-16
classic,29,B,carbon_memory,0.25357332561700113,2.7755575615628914e-16
classic,29,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,30,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,30,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,30,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,30,A,regolith_fraction,0.6591966264588348,1.1102230246251565e-15
classic,30,A,carbon_memory,0.44535597903407426,5.551115123125783e-17
classic,30,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,30,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,30,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,30,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,30,B,regolith_fraction,0.6591966264588348,1.1102230246251565e-15
classic,30,B,carbon_memory,0.44535597903407426,5.551115123125783e-17
classic,30,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,31,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,31,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,31,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,31,A,regolith_fraction,0.9183760293064293,8.881784197001252e-16
classic,31,A,carbon_memory,0.2807464842336882,4.440892098500626e-16
classic,31,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,31,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,31,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,31,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,31,B,regolith_fraction,0.9183760293064293,8.881784197001252e-16
classic,31,B,carbon_memory,0.2807464842336882,4.440892098500626e-16
classic,31,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,32,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,32,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,32,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,32,A,regolith_fraction,0.6224952677283241,6.661338147750939e-16
classic,32,A,carbon_memory,0.3011519902346435,3.885780586188048e-16
classic,32,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,32,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,32,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,32,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,32,B,regolith_fraction,0.6224952677283241,6.661338147750939e-16
classic,32,B,carbon_memory,0.3011519902346435,3.885780586188048e-16
classic,32,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,33,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,33,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,33,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,33,A,regolith_fraction,0.8429258697257463,7.771561172376096e-16
classic,33,A,carbon_memory,0.5519622812631299,5.551115123125783e-16
classic,33,A,productivity,0.23528479791287207,3.8804884345853074e-11
classic,33,B,temperature_k,-3.3161294807877373,8.071999921690497e-09
classic,33,B,ice_fraction,0.9983295038349163,3.309896852903383e-11
classic,33,B,co2_ppm,377.375702566002,1.7364165411617034e-06
classic,33,B,regolith_fraction,0.8429258697257463,7.771561172376096e-16
classic,33,B,carbon_memory,0.5519622812631299,5.551115123125783e-16
classic,33,B,productivity,0.23528479650051812,1.1624949990394273e-09
classic,34,A,temperature_k,-3.316129470980796,2.694489308694141e-10
classic,34,A,ice_fraction,0.9983295037947034,1.104844369688868e-12
classic,34,A,co2_ppm,377.3757046756322,5.796279734500525e-08
classic,34,A,regolith_fraction,0.6339285951972475,1.3322676295501878e-15
