time_myr,obliquity_A_deg,eccentricity_A,obliquity_B_deg,eccentricity_B
-3.6800000000001347,70.0,0.3,10.0,0.01
-3.660000000000135,70.0,0.3,10.0,0.01
-3.6400000000001356,70.0,0.3,10.0,0.01
-3.620000000000136,70.0,0.3,10.0,0.01
-3.6000000000001364,70.0,0.3,10.0,0.01
-3.580000000000137,70.0,0.3,10.0,0.01
-3.5600000000001373,70.0,0.3,10.0,0.01
-3.5400000000001377,70.0,0.3,10.0,0.01
-3.520000000000138,70.0,0.3,10.0,0.01
-3.5000000000001386,70.0,0.3,10.0,0.01
-3.480000000000139,70.0,0.3,10.0,0.01
-3.4600000000001394,70.0,0.3,10.0,0.01
-3.44000000000014,70.0,0.3,10.0,0.01
-3.4200000000001403,70.0,0.3,10.0,0.01
-3.4000000000001407,70.0,0.3,10.0,0.01
-3.380000000000141,70.0,0.3,10.0,0.01
-3.3600000000001415,70.0,0.3,10.0,0.01
-3.340000000000142,70.0,0.3,10.0,0.01
-3.3200000000001424,70.0,0.3,10.0,0.01
-3.300000000000143,70.0,0.3,10.0,0.01
-3.2800000000001432,70.0,0.3,10.0,0.01
-3.2600000000001437,70.0,0.3,10.0,0.01
-3.240000000000144,70.0,0.3,10.0,0.01
-3.2200000000001445,70.0,0.3,10.0,0.01
-3.200000000000145,70.0,0.3,10.0,0.01
-3.1800000000001454,70.0,0.3,10.0,0.01
-3.160000000000146,70.0,0.3,10.0,0.01
-3.1400000000001462,70.0,0.3,10.0,0.01
-3.1200000000001467,70.0,0.3,10.0,0.01
-3.100000000000147,70.0,0.3,10.0,0.01
-3.0800000000001475,70.0,0.3,10.0,0.01
-3.060000000000148,70.0,0.3,10.0,0.01
-3.0400000000001484,70.0,0.3,10.0,0.01
-3.020000000000149,70.0,0.3,10.0,0.01
-3.000000000000149,70.0,0.3,10.0,0.01
-2.9800000000001496,70.0,0.3,10.0,0.01
-2.96000000000015,70.0,0.3,10.0,0.01
-2.9400000000001505,70.0,0.3,10.0,0.01
-2.920000000000151,70.0,0.3,10.0,0.01
-2.9000000000001513,70.0,0.3,10.0,0.01
-2.8800000000001518,70.0,0.3,10.0,0.01
