age_ka_bp,temp_anomaly_C,sea_level_m,ice_volume_eurasia_sle,ice_volume_na_sle,ice_volume_total_sle,insolation_65N_jul_Wm2,eccentricity,obliquity_deg,precession,isotope_total
113.0,-9.6619,-32.148,-11.467,-17.259,-28.726,394.61,0.04386,22.349,0.02621,0.673
114.0,-9.2296,-23.747,-8.0345,-13.386,-21.420499999999997,392.2,0.04394,22.38,0.03536,0.5773
115.0,-9.1807,-15.657,-4.7464,-9.6004,-14.346800000000002,393.21,0.043983,22.438,0.04145,0.4645
116.0,-8.7071,-8.044,-1.8373,-5.7562,-7.5935,397.6,0.043988,22.52,0.04394,0.3555
117.0,-6.6082,-3.9434,-0.4915,-3.1253,-3.6168,405.1,0.043954,22.625,0.04264,0.2704
118.0,-5.534,-2.5034,-0.2076,-2.0887,-2.2962999999999996,415.17,0.043882,22.75,0.0377,0.1867
119.0,-5.5934,-0.9765,-0.03,-0.9817,-1.0117,427.07,0.043771,22.891,0.02962,0.0847
120.0,-2.6443,0.0255,0.0,-0.0089,-0.0089,439.91,0.043622,23.043,0.01915,0.0253
121.0,0.1425,0.0916,0.0,0.0,0.0,452.72,0.043434,23.202,0.00723,0.0012999
122.0,-0.3457,0.0078,0.0,0.0,0.0,464.51,0.043208,23.364,-0.00509,-0.0239
123.0,-0.2772,0.0078,0.0,0.0,0.0,474.37,0.042945,23.523,-0.0168,-0.0576
124.0,1.204,0.3098,0.0,0.0,0.0,481.6,0.042644,23.676,-0.02694,-0.0641
125.0,2.0853,-0.8201,-0.745,0.0,-0.745,485.71,0.042308,23.818,-0.03476,-0.011
126.0,1.275,-7.7374,-4.5554,-1.5282,-6.0836,486.53,0.041936,23.945,-0.0397,0.0922
127.0,0.0305,-18.874,-10.363,-5.193,-15.556,484.15,0.041531,24.054,-0.04148,0.2538
128.0,-1.418,-28.672,-14.545,-9.4818,-24.0268,478.95,0.041094,24.142,-0.04006,0.4067
129.0,-2.7322,-38.984,-18.207,-14.857,-33.064,471.51,0.040626,24.207,-0.03567,0.5316
130.0,-5.5227,-48.021,-20.439,-20.572,-41.010999999999996,462.57,0.040129,24.247,-0.02874,0.623
131.0,-5.6483,-58.403,-22.611,-27.063,-49.674,452.91,0.039605,24.262,-0.01988,0.7395
132.0,-4.4243,-76.983,-27.476,-37.728,-65.20400000000001,443.29,0.039058,24.251,-0.00984,0.9752
133.0,-6.343,-96.888,-34.35,-48.493,-82.843,434.42,0.038488,24.214,0.00061,1.2476
134.0,-8.8844,-110.04,-38.683,-56.181,-94.864,426.86,0.0379,24.154,0.01069,1.4387
135.0,-11.08,-117.54,-40.728,-61.062,-101.78999999999999,421.05,0.037295,24.071,0.01966,1.5466
136.0,-12.699,-120.96,-41.461,-63.61,-105.071,417.23,0.036677,23.967,0.02692,1.5993
137.0,-12.626,-122.05,-41.834,-64.345,-106.179,415.52,0.036051,23.847,0.03201,1.621
138.0,-12.806,-122.64,-42.167,-64.46,-106.627,415.86,0.035418,23.712,0.03464,1.6511
139.0,-13.509,-122.45,-42.391,-64.135,-106.52600000000001,418.04,0.034783,23.568,0.03472,1.6627
140.0,-13.807,-121.02,-42.195,-63.19,-105.38499999999999,421.77,0.034151,23.417,0.03235,1.6401
141.0,-13.986,-119.52,-42.087,-62.017,-104.10400000000001,426.64,0.033525,23.265,0.02779,1.6064
142.0,-13.785,-116.89,-41.899,-60.016,-101.91499999999999,432.17,0.03291,23.116,0.02146,1.5703
143.0,-12.441,-114.54,-41.729,-58.003,-99.732,437.9,0.032311,22.974,0.01386,1.5609
144.0,-12.917,-112.6,-41.771,-56.311,-98.082,443.34,0.031732,22.844,0.0056,1.561
145.0,-13.77,-110.47,-41.851,-54.418,-96.269,448.07,0.031178,22.729,-0.00275,1.558
146.0,-13.598,-108.04,-41.678,-52.425,-94.103,451.74,0.030655,22.632,-0.01059,1.5473
147.0,-13.551,-106.62,-41.768,-51.05,-92.818,454.11,0.030166,22.557,-0.01744,1.5449
148.0,-14.601,-105.24,-41.641,-49.977,-91.618,455.06,0.029717,22.505,-0.02289,1.5282
149.0,-14.45,-104.01,-41.308,-49.193,-90.501,454.57,0.029312,22.478,-0.02664,1.4997
150.0,-13.506,-104.19,-41.152,-49.388,-90.53999999999999,452.74,0.028955,22.476,-0.02854,1.4842
151.0,-13.966,-105.05,-41.098,-50.189,-91.287,449.75,0.02865,22.498,-0.02854,1.4478
152.0,-13.566,-105.7,-40.981,-50.919,-91.9,445.86,0.0284,22.544,-0.02673,1.41
153.0,-11.971,-106.51,-40.85,-51.654,-92.504,441.35,0.028208,22.611,-0.02327,1.3868
154.0,-11.161,-108.74,-41.194,-53.205,-94.399,436.54,0.028075,22.698,-0.01843,1.4083
155.0,-11.397,-109.92,-41.58,-54.014,-95.594,431.73,0.028003,22.8,-0.01252,1.4369
156.0,-11.485,-109.86,-41.944,-53.616,-95.56,427.23,0.027993,22.915,-0.00589,1.4593
157.0,-11.669,-110.21,-42.479,-53.399,-95.878,423.31,0.028043,23.039,0.00108,1.4895
158.0,-12.944,-108.51,-42.704,-51.858,-94.562,420.22,0.028152,23.169,0.00801,1.4798
159.0,-12.854,-106.34,-42.597,-50.063,-92.66,418.17,0.028319,23.301,0.01451,1.4558
160.0,-12.83,-104.54,-42.511,-48.512,-91.023,417.32,0.028542,23.432,0.02021,1.4387
161.0,-12.567,-102.75,-42.45,-47.097,-89.547,417.81,0.028816,23.557,0.02479,1.4453
162.0,-12.466,-100.8,-42.236,-45.614,-87.85,419.7,0.029139,23.676,0.02796,1.4587
163.0,-13.326,-98.02,-41.99,-43.541,-85.531,422.99,0.029506,23.783,0.02949,1.4605
164.0,-14.267,-94.079,-41.385,-40.773,-82.158,427.63,0.029913,23.879,0.02923,1.424
165.0,-14.214,-90.183,-40.489,-38.233,-78.722,433.46,0.030356,23.96,0.02713,1.3576
166.0,-14.005,-86.443,-39.35,-36.138,-75.488,440.25,0.030831,24.026,0.02323,1.2923
167.0,-13.18,-82.772,-37.937,-34.268,-72.205,447.69,0.031333,24.075,0.01769,1.2463
168.0,-11.934,-81.058,-37.217,-33.325,-70.542,455.38,0.031859,24.107,0.01079,1.2496
169.0,-12.495,-80.459,-37.102,-32.905,-70.007,462.87,0.032403,24.122,0.00291,1.2755
170.0,-13.416,-79.298,-36.798,-32.267,-69.065,469.64,0.032963,24.119,-0.00549,1.2776
171.0,-13.768,-78.037,-36.31,-31.631,-67.941,475.19,0.033534,24.1,-0.01385,1.2536
172.0,-13.882,-76.653,-35.54,-31.245,-66.785,479.04,0.034113,24.064,-0.02161,1.2001
173.0,-13.472,-75.548,-34.771,-30.95,-65.721,480.8,0.034697,24.014,-0.02818,1.1371
174.0,-12.099,-76.221,-35.196,-31.008,-66.204,480.2,0.035284,23.95,-0.03302,1.1108
175.0,-10.695,-78.404,-36.152,-31.795,-67.947,477.15,0.03587,23.873,-0.03571,1.1339
176.0,-10.645,-81.551,-37.787,-32.82,-70.607,471.71,0.036453,23.784,-0.03592,1.1723
177.0,-11.661,-84.129,-39.27,-33.763,-73.033,464.16,0.03703,23.687,-0.03352,1.2017
178.0,-11.518,-86.262,-40.456,-34.396,-74.852,454.95,0.037602,23.582,-0.02854,1.2166
179.0,-11.318,-88.825,-41.844,-35.232,-77.076,444.67,0.038164,23.471,-0.02126,1.222
180.0,-11.788,-90.97,-42.975,-36.065,-79.03999999999999,434.02,0.038717,23.356,-0.01211,1.2165
181.0,-11.251,-92.562,-43.583,-36.725,-80.30799999999999,423.71,0.039259,23.24,-0.00172,1.1986
182.0,-9.9334,-95.468,-44.521,-38.308,-82.82900000000001,414.46,0.039789,23.124,0.00914,1.1999
183.0,-10.255,-98.316,-45.08,-40.322,-85.402,406.92,0.040306,23.011,0.01964,1.214
184.0,-9.6716,-99.223,-44.085,-42.216,-86.301,401.6,0.04081,22.902,0.02892,1.2251
185.0,-8.9758,-98.606,-42.061,-43.89,-85.951,398.89,0.0413,22.8,0.03617,1.2427
186.0,-9.9295,-94.206,-39.285,-43.231,-82.51599999999999,398.99,0.041775,22.707,0.04074,1.2549
187.0,-10.385,-85.785,-35.467,-39.891,-75.358,401.91,0.042236,22.626,0.04216,1.2375
188.0,-11.021,-75.956,-31.42,-35.58,-67.0,407.48,0.042682,22.557,0.0402,1.1994
189.0,-12.801,-64.955,-26.918,-30.539,-57.457,415.3,0.043114,22.502,0.03492,1.1229
190.0,-13.349,-52.708,-22.294,-24.504,-46.798,424.81,0.04353,22.464,0.02668,0.9765
191.0,-12.615,-42.908,-18.953,-19.119,-38.072,435.27,0.043933,22.444,0.01607,0.8386
192.0,-11.911,-33.678,-16.019,-13.877,-29.896,445.83,0.044321,22.442,0.00393,0.7142
193.0,-10.367,-28.812,-14.387,-10.896,-25.283,455.62,0.044694,22.459,-0.00875,0.6444
194.0,-8.8649,-27.405,-13.905,-10.018,-23.923000000000002,463.78,0.045053,22.496,-0.02093,0.6447
195.0,-9.3453,-26.252,-13.594,-9.3079,-22.901899999999998,469.59,0.045399,22.552,-0.03157,0.6231
196.0,-9.6679,-25.202,-13.36,-8.6742,-22.0342,472.53,0.045731,22.627,-0.03977,0.5951
197.0,-9.4478,-23.691,-13.011,-7.695,-20.706,472.37,0.046049,22.719,-0.04483,0.5323
198.0,-8.1916,-22.811,-12.814,-7.0763,-19.8903,469.16,0.046353,22.828,-0.04629,0.4582
199.0,-7.54,-22.44,-12.778,-6.7529,-19.530900000000003,463.26,0.046645,22.951,-0.04401,0.3824
200.0,-5.7775,-22.31,-12.757,-6.6338,-19.3908,455.27,0.046922,23.086,-0.03817,0.3348
201.0,-3.3504,-23.111,-12.809,-7.1593,-19.9683,445.97,0.047187,23.23,-0.02923,0.3452
202.0,-3.4972,-24.803,-12.992,-8.4754,-21.4674,436.23,0.047438,23.38,-0.01789,0.3964
203.0,-4.2596,-26.083,-13.095,-9.5117,-22.6067,426.95,0.047675,23.533,-0.00507,0.4699
204.0,-4.9968,-26.471,-13.13,-9.8696,-22.9996,418.95,0.047898,23.685,0.00823,0.531
205.0,-6.7463,-26.46,-13.103,-9.9374,-23.040399999999998,412.93,0.048107,23.833,0.02097,0.5656
206.0,-8.5204,-25.708,-12.958,-9.5118,-22.4698,409.41,0.048302,23.973,0.03215,0.5505
207.0,-8.0762,-24.46,-12.654,-8.7263,-21.3803,408.75,0.048481,24.102,0.04092,0.5125
208.0,-7.485,-23.246,-12.41,-7.9251,-20.3351,411.08,0.048645,24.216,0.04661,0.465
209.0,-7.0864,-22.088,-12.192,-7.1132,-19.3052,416.33,0.048793,24.313,0.04879,0.4121
210.0,-6.0731,-21.086,-11.987,-6.4104,-18.3974,424.23,0.048923,24.39,0.04729,0.3772
211.0,-4.8362,-20.712,-11.919,-6.1068,-18.0258,434.28,0.049036,24.444,0.04222,0.3819
212.0,-4.3089,-20.521,-11.931,-5.9182,-17.8492,445.83,0.049131,24.475,0.03395,0.3948
213.0,-5.4912,-20.179,-12.01,-5.564,-17.573999999999998,458.04,0.049206,24.48,0.02311,0.3728
