lineage_id,cycle,mic,lag_time,growth_rate,survival,persister_fraction,fitness
W_AMK25p0_N0p25_P05,11,,,,0.211,,
W_AMK25p0_N0p25_P06,11,,,,0.69,,
W_AMK25p0_N0p25_P07,11,,,,0.545,,
W_AMK25p0_N0p25_P08,11,,,,0.263,,
W_AMK25p0_N0p25_P09,11,,,,0.000162,,
W_AMK25p0_N0p25_P10,11,,,,0.0336,,
W_AMK25p0_N0p25_P11,11,,,,0.583,,
W_AMK25p0_N0p25_P12,11,,,,0.737,,
W_AMK25p0_N0p25_P13,11,,,,0.484,,
W_AMK25p0_N0p25_P14,11,,,,0.344,,
W_AMK25p0_N0p25_P15,11,,,,0.529,,
W_AMK25p0_N0p25_P16,11,,,,0.0233,,
W_AMK25p0_N0p25_P18,11,,,,1.0,,
W_AMK25p0_N0p25_P19,11,,,,0.045,,
W_AMK25p0_N0p25_P20,11,,,,0.12,,
W_AMK25p0_N0p25_P21,11,,,,0.0142,,
W_AMK25p0_N0p25_P22,11,,,,0.194,,
W_AMK25p0_N0p25_P01,13,,,,0.904,,
W_AMK25p0_N0p25_P02,13,,,,1.18,,
W_AMK25p0_N0p25_P03,13,,,,1.09,,
W_AMK25p0_N0p25_P04,13,,,,0.92,,
W_AMK25p0_N0p25_P05,13,,,,1.06,,
W_AMK25p0_N0p25_P06,13,,,,1.16,,
W_AMK25p0_N0p25_P07,13,,,,0.888,,
W_AMK25p0_N0p25_P08,13,,,,0.266,,
W_AMK25p0_N0p25_P09,13,,,,0.835,,
W_AMK25p0_N0p25_P10,13,,,,0.774,,
W_AMK25p0_N0p25_P11,13,,,,0.724,,
W_AMK25p0_N0p25_P12,13,,,,1.08,,
W_AMK25p0_N0p25_P13,13,,,,1.29,,
W_AMK25p0_N0p25_P14,13,,,,0.76,,
W_AMK25p0_N0p25_P15,13,,,,0.543,,
W_AMK25p0_N0p25_P16,13,,,,1.26,,
W_AMK25p0_N0p25_P17,13,,,,0.167,,
W_AMK25p0_N0p25_P18,13,,,,0.8,,
W_AMK25p0_N0p25_P19,13,,,,0.0112,,
W_AMK25p0_N0p25_P20,13,,,,0.272,,
W_AMK25p0_N0p25_P21,13,,,,0.332,,
W_AMK25p0_N0p25_P22,13,,,,0.129,,
W_AMK25p0_N0p5_P01,1,,,,0.000406,,
W_AMK25p0_N0p5_P02,1,,,,0.000367,,
W_AMK25p0_N0p5_P10,1,,,,0.000255,,
W_AMK25p0_N0p5_P01,2,,,,0.000114,,
W_AMK25p0_N0p5_P02,2,,,,8e-05,,
W_AMK25p0_N0p5_P03,2,,,,6.51e-05,,
W_AMK25p0_N0p5_P04,2,,,,0.00019,,
W_AMK25p0_N0p5_P05,2,,,,0.000166,,
W_AMK25p0_N0p5_P06,2,,,,0.00143,,
W_AMK25p0_N0p5_P07,2,,,,0.00108,,
W_AMK25p0_N0p5_P08,2,,,,0.000242,,
W_AMK25p0_N0p5_P09,2,,,,0.00013,,
W_AMK25p0_N0p5_P10,2,,,,5.37e-05,,
W_AMK25p0_N0p5_P11,2,,,,0.000161,,
W_AMK25p0_N0p5_P12,2,,,,0.001,,
W_AMK25p0_N0p5_P13,2,,,,0.00154,,
W_AMK25p0_N0p5_P14,2,,,,0.000223,,
W_AMK25p0_N0p5_P15,2,,,,5.91e-05,,
W_AMK25p0_N0p5_P16,2,,,,0.000102,,
W_AMK25p0_N0p5_P17,2,,,,8.11e-05,,
W_AMK25p0_N0p5_P18,2,,,,8.24e-05,,
W_AMK25p0_N0p5_P19,2,,,,0.00024,,
W_AMK25p0_N0p5_P20,2,,,,0.000118,,
W_AMK25p0_N0p5_P21,2,,,,0.000314,,
W_AMK25p0_N0p5_P22,2,,,,0.00293,,
W_AMK25p0_N0p5_P23,2,,,,6.82e-05,,
W_AMK25p0_N0p5_P24,2,,,,4.65e-05,,
W_AMK25p0_N0p5_P01,5,,,,0.000378,,
W_AMK25p0_N0p5_P02,5,,,,0.000436,,
W_AMK25p0_N0p5_P03,5,,,,0.0194,,
W_AMK25p0_N0p5_P04,5,,,,0.0344,,
W_AMK25p0_N0p5_P05,5,,,,0.0312,,
W_AMK25p0_N0p5_P06,5,,,,0.0313,,
W_AMK25p0_N0p5_P07,5,,,,0.0389,,
W_AMK25p0_N0p5_P09,5,,,,0.000206,,
W_AMK25p0_N0p5_P10,5,,,,0.00286,,
W_AMK25p0_N0p5_P12,5,,,,0.0312,,
W_AMK25p0_N0p5_P13,5,,,,0.0375,,
W_AMK25p0_N0p5_P14,5,,,,0.0312,,
W_AMK25p0_N0p5_P16,5,,,,0.0364,,
W_AMK25p0_N0p5_P17,5,,,,0.00024,,
W_AMK25p0_N0p5_P18,5,,,,0.0338,,
W_AMK25p0_N0p5_P20,5,,,,0.0418,,
W_AMK25p0_N0p5_P21,5,,,,0.08,,
W_AMK25p0_N0p5_P22,5,,,,0.0265,,
W_AMK25p0_N0p5_P23,5,,,,0.0356,,
W_AMK25p0_N0p5_P24,5,,,,0.0228,,
W_AMK25p0_N0p5_P01,8,,,,0.6666667,,
W_AMK25p0_N0p5_P02,8,,,,0.185,,
W_AMK25p0_N0p5_P03,8,,,,0.185,,
W_AMK25p0_N0p5_P04,8,,,,0.24,,
W_AMK25p0_N0p5_P05,8,,,,0.1575,,
W_AMK25p0_N0p5_P06,8,,,,1.0,,
W_AMK25p0_N0p5_P07,8,,,,0.866667,,
W_AMK25p0_N0p5_P08,8,,,,1.0,,
W_AMK25p0_N0p5_P09,8,,,,0.067778,,
W_AMK25p0_N0p5_P10,8,,,,0.046667,,
W_AMK25p0_N0p5_P11,8,,,,0.09,,
W_AMK25p0_N0p5_P12,8,,,,0.5217391,,
W_AMK25p0_N0p5_P13,8,,,,0.842105,,
W_AMK25p0_N0p5_P14,8,,,,0.9375,,
W_AMK25p0_N0p5_P15,8,,,,0.045455,,
W_AMK25p0_N0p5_P16,8,,,,0.75,,
W_AMK25p0_N0p5_P17,8,,,,0.6,,
W_AMK25p0_N0p5_P18,8,,,,0.027027,,
W_AMK25p0_N0p5_P19,8,,,,0.5,,
W_AMK25p0_N0p5_P20,8,,,,0.117647,,
W_AMK25p0_N0p5_P21,8,,,,0.8,,
W_AMK25p0_N0p5_P22,8,,,,0.375,,
W_AMK25p0_N0p5_P23,8,,,,0.5,,
W_AMK25p0_N0p5_P24,8,,,,0.411765,,
W_AMK25p0_N0p5_P01,11,,,,0.08,,
W_AMK25p0_N0p5_P02,11,,,,0.25,,
W_AMK25p0_N0p5_P03,11,,,,0.4,,
W_AMK25p0_N0p5_P04,11,,,,0.028,,
W_AMK25p0_N0p5_P05,11,,,,0.333,,
W_AMK25p0_N0p5_P06,11,,,,0.636,,
W_AMK25p0_N0p5_P07,11,,,,0.476,,
W_AMK25p0_N0p5_P08,11,,,,0.769,,
W_AMK25p0_N0p5_P09,11,,,,0.333,,
W_AMK25p0_N0p5_P10,11,,,,0.4,,
W_AMK25p0_N0p5_P11,11,,,,0.571,,
W_AMK25p0_N0p5_P12,11,,,,0.769,,
W_AMK25p0_N0p5_P13,11,,,,0.211,,
W_AMK25p0_N0p5_P14,11,,,,0.421,,
W_AMK25p0_N0p5_P15,11,,,,0.045,,
W_AMK25p0_N0p5_P16,11,,,,0.222,,
W_AMK25p0_N0p5_P17,11,,,,0.9,,
W_AMK25p0_N0p5_P18,11,,,,0.093,,
W_AMK25p0_N0p5_P19,11,,,,0.556,,
W_AMK25p0_N0p5_P20,11,,,,0.0025,,
W_AMK25p0_N0p5_P21,11,,,,0.0733,,
W_AMK25p0_N0p5_P22,11,,,,0.8,,
W_AMK25p0_N0p5_P23,11,,,,0.7,,
W_AMK25p0_N0p5_P24,11,,,,0.769,,
W_AMK25p0_N0p5_P01,14,,,,0.00519,,
W_AMK25p0_N0p5_P02,14,,,,0.012,,
W_AMK25p0_N0p5_P03,14,,,,0.00667,,
W_AMK25p0_N0p5_P04,14,,,,0.0075,,
W_AMK25p0_N0p5_P05,14,,,,0.0133,,
W_AMK25p0_N0p5_P06,14,,,,0.174,,
W_AMK25p0_N0p5_P07,14,,,,0.4,,
W_AMK25p0_N0p5_P08,14,,,,0.333,,
W_AMK25p0_N0p5_P09,14,,,,0.00462,,
W_AMK25p0_N0p5_P10,14,,,,0.00375,,
