planet_name,host_name,discovery_method,discovery_year,orbital_period_days,radius_earth,mass_earth,density_g_cm3,equilibrium_temperature_k,stellar_teff_k,stellar_radius_solar,stellar_mass_solar,system_planet_count,parameter_reference,discovery_reference,archive_row_update
Kepler-1821 b,Kepler-1821,Transit,2021,16.45809937,2.59248115,,,,5475.0,0.884,0.946,1,<a refstr=VALIZADEGAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926..120V/abstract target=ref>Valizadegan et al. 2022</a>,<a refstr=VALIZADEGAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926..120V/abstract target=ref>Valizadegan et al. 2022</a>,2021-12-05
Kepler-1076 b,Kepler-1076,Transit,2016,6.14727918,0.8,,,,4868.0,0.74,0.79,1,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016-05-06
Kepler-112 c,Kepler-112,Transit,2014,28.574263,2.4,,,,5544.0,0.841,,2,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-05-14
Kepler-1788 b,Kepler-1788,Transit,2021,2.800120115,2.37850461,,,,4786.0,0.704,0.686,1,<a refstr=VALIZADEGAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926..120V/abstract target=ref>Valizadegan et al. 2022</a>,<a refstr=VALIZADEGAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926..120V/abstract target=ref>Valizadegan et al. 2022</a>,2021-12-05
Kepler-1065 b,Kepler-1065,Transit,2016,3.609308907,3.73,,,,5635.0,0.93,0.94,2,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016-05-06
Kepler-2001 c,Kepler-2001,Transit,2023,14.092583189,1.82,,,597.0,5081.0,0.77,0.864,2,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,<a refstr=VALIZADEGAN_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...28V/abstract target=ref>Valizadegan et al. 2023</a>,2017-05-08
Kepler-1077 b,Kepler-1077,Transit,2016,34.3511874,2.77,,,,5816.0,1.02,1.02,1,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016-05-06
Kepler-1078 b,Kepler-1078,Transit,2016,3.00725242,1.9,,,,5612.0,0.92,0.94,1,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016-05-06
Kepler-1789 b,Kepler-1789,Transit,2021,80.23190308,2.83137505,,,,5436.0,0.888,0.92,1,<a refstr=VALIZADEGAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926..120V/abstract target=ref>Valizadegan et al. 2022</a>,<a refstr=VALIZADEGAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926..120V/abstract target=ref>Valizadegan et al. 2022</a>,2021-12-05
Kepler-1678 b,Kepler-1678,Transit,2020,147.974,3.30422249,,,,5754.0,0.834976,1.03,1,<a refstr=ARMSTRONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5327A/abstract target=ref>Armstrong et al. 2021</a>,<a refstr=ARMSTRONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5327A/abstract target=ref>Armstrong et al. 2021</a>,2020-09-08
Kepler-1079 b,Kepler-1079,Transit,2016,13.24503188,1.63,,,,5758.0,1.36,1.08,1,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016-05-06
Kepler-18 d,Kepler-18,Transit,2011,14.85888,6.98,16.4,0.27,,5345.0,1.108,0.972,3,<a refstr=COCHRAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJS..197....7C/abstract target=ref> Cochran et al. 2011 </a>,<a refstr=COCHRAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJS..197....7C/abstract target=ref> Cochran et al. 2011 </a>,2014-05-14
Kepler-1080 b,Kepler-1080,Transit,2016,77.2548396,3.28,,,,5956.0,1.16,1.1,1,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016-05-06
Kepler-1066 b,Kepler-1066,Transit,2016,1.931559839,2.36,,,,5762.0,0.98,0.98,1,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016-05-06
Kepler-1081 b,Kepler-1081,Transit,2016,3.856918547,1.01,,,,5345.0,0.84,0.88,1,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016-05-06
Kepler-1082 b,Kepler-1082,Transit,2016,1.543206604,1.12,,,,5923.0,1.14,1.03,1,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016-05-06
Kepler-357 d,Kepler-357,Transit,2014,49.499875,3.43,,,,5036.0,0.834,,3,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-05-14
Kepler-1083 b,Kepler-1083,Transit,2016,33.4177993,3.36,,,,5049.0,0.77,0.81,1,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016-05-06
Kepler-1084 b,Kepler-1084,Transit,2016,2.05333679,1.11,,,,6113.0,1.28,1.12,1,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016-05-06
Kepler-1085 c,Kepler-1085,Transit,2020,56.7771,3.26817741,,,,5816.0,1.0783,1.05,2,<a refstr=ARMSTRONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5327A/abstract target=ref>Armstrong et al. 2021</a>,<a refstr=ARMSTRONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5327A/abstract target=ref>Armstrong et al. 2021</a>,2020-09-08
Kepler-114 b,Kepler-114,Transit,2014,5.188549,1.26,,,,4605.0,0.667,,3,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-05-14
Kepler-1086 b,Kepler-1086,Transit,2016,18.78425728,2.44,,,,4350.0,0.66,0.7,2,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016-05-06
Kepler-1087 b,Kepler-1087,Transit,2016,0.693842855,0.61,,,,5589.0,0.94,0.96,1,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016-05-06
