test_id,wp,technical_outcome,scientific_verdict,criterion_id,metric,threshold,message,duration_s
T2-003,T2,pass,undetermined,,0.06379731379731379,,Benchmark multi-domaines exécuté,8.114999218378216e-06
T2-004,T2,pass,undetermined,,0.06379731379731379,,Benchmark multi-domaines exécuté,8.01599890110083e-06
T2-005,T2,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",1.4584999007638544e-05
T2-006,T2,pass,undetermined,,0.06379731379731379,,Benchmark multi-domaines exécuté,7.925002137199044e-06
T2-007,T2,pass,undetermined,,0.06379731379731379,,Benchmark multi-domaines exécuté,7.033999281702563e-06
T2-008,T2,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",8.689999958733097e-06
T2-009,T2,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",5.215999408392236e-06
T2-010,T2,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",8.17600084701553e-06
T3-001,T3,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",7.050999556668103e-06
T3-002,T3,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",6.721998943248764e-06
T3-003,T3,pass,undetermined,,0.06379731379731379,,Benchmark multi-domaines exécuté,0.8262207539992232
T3-004,T3,pass,undetermined,,0.06379731379731379,,Benchmark multi-domaines exécuté,3.322100019431673e-05
T3-005,T3,pass,undetermined,,0.06379731379731379,,Benchmark multi-domaines exécuté,7.253001967910677e-06
T3-006,T3,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",1.3682998542208225e-05
T3-007,T3,pass,undetermined,,0.06379731379731379,,Benchmark multi-domaines exécuté,7.760998414596543e-06
T3-008,T3,pass,undetermined,,0.06379731379731379,,Benchmark multi-domaines exécuté,5.6960016081575304e-06
T3-009,T3,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",4.797999281436205e-06
T3-010,T3,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",6.583999493159354e-06
T4-001,T4,pass,undetermined,,0.2777777777777778,,Compression explicative mesurée,0.12474178399861557
T4-002,T4,pass,undetermined,,0.2777777777777778,,Compression explicative mesurée,1.954300023498945e-05
T4-003,T4,pass,undetermined,,0.2777777777777778,,Compression explicative mesurée,8.486997103318572e-06
T4-004,T4,pass,undetermined,,0.2777777777777778,,Compression explicative mesurée,6.85600025462918e-06
T4-005,T4,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",1.642099960008636e-05
T4-006,T4,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",1.0458999895490706e-05
T5-001,T5,pass,undetermined,,0.1767394036330401,,Contrôles red-team automatiques exécutés,0.10624399899825221
T5-002,T5,pass,undetermined,,0.1767394036330401,,Contrôles red-team automatiques exécutés,2.0806000975426286e-05
T5-003,T5,pass,undetermined,,0.1767394036330401,,Contrôles red-team automatiques exécutés,8.630999218439683e-06
T5-004,T5,pass,undetermined,,0.1767394036330401,,Contrôles red-team automatiques exécutés,6.723003025399521e-06
T5-005,T5,pass,undetermined,,0.1767394036330401,,Contrôles red-team automatiques exécutés,6.054997356841341e-06
T5-006,T5,pass,undetermined,,0.1767394036330401,,Contrôles red-team automatiques exécutés,5.924001015955582e-06
T5-007,T5,pass,undetermined,,0.1767394036330401,,Contrôles red-team automatiques exécutés,5.427998985396698e-06
T5-008,T5,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",1.700999928289093e-05
T5-009,T5,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",3.4799995773937553e-06
T5-010,T5,pass,undetermined,,0.1767394036330401,,Contrôles red-team automatiques exécutés,6.583999493159354e-06
