parameter,fixed_value,training_rmse,excess_over_best,relative_excess,prediction_rmse
tau_regolith_kyr,118.9207115002721,0.8814847046516451,0.026939548786339862,0.031525014917510245,1.7827940250001961
tau_regolith_kyr,215.44346900318823,0.8545937955619586,4.8639696653363096e-05,5.691881385028852e-05,2.0415923731097423
tau_regolith_kyr,390.30954112666547,0.8545984849026326,5.332903732735428e-05,6.240634208891366e-05,2.0415788070164713
tau_regolith_kyr,707.1067811865474,0.8814847225185849,0.02693956665327968,0.03152503582563861,1.7828323413330311
tau_regolith_kyr,1281.034531097298,0.8814847057669055,0.0269395499016003,0.0315250162226027,1.7828059929551312
tau_regolith_kyr,2320.794416806388,0.8814847109331455,0.026939555067840293,0.031525022268204805,1.7828191800561197
tau_regolith_kyr,4204.482076268572,0.854598529916638,5.337405133276629e-05,6.245901807110495e-05,2.041545541816107
tau_regolith_kyr,7617.076894725406,0.8545985357101712,5.3379844865975024e-05,6.246579773999543e-05,2.041543579016874
tau_regolith_kyr,13799.526164623723,0.8545985301766699,5.3374311364651206e-05,6.245932236384259e-05,2.0415603035061
tau_regolith_kyr,25000.0,0.8545985317689196,5.337590361442768e-05,6.246118563550886e-05,2.041553244012277
carbon_feedback_gain,-20.0,0.8545985291235312,5.337325822596384e-05,6.245808996707556e-05,2.04157362630619
carbon_feedback_gain,-16.666666666666668,0.8613331159023841,0.006787960037078933,0.007943360266556659,2.046959639048035
carbon_feedback_gain,-13.333333333333332,0.8694938853421738,0.014948729476868539,0.017493200182887445,2.05040706559152
carbon_feedback_gain,-10.0,0.8767390655147351,0.02219390964942991,0.025971605475847023,1.8078485616676911
carbon_feedback_gain,-6.666666666666666,0.8785929993006458,0.02404784343534061,0.02814110321764093,1.8364343977452304
carbon_feedback_gain,-3.333333333333332,0.8830904676771997,0.028545311811894458,0.03340409996589322,1.9159276946564867
carbon_feedback_gain,0.0,0.9601901510566574,0.10564499519135218,0.12362716524251659,2.117794637686964
carbon_feedback_gain,3.3333333333333357,0.9722671893805749,0.11772203351526966,0.13775987460377717,2.17159312317582
carbon_feedback_gain,6.666666666666668,0.9840731102268983,0.12952795436159303,0.1515753187207926,2.2315002599877243
carbon_feedback_gain,10.0,0.9956707456406165,0.1411255897753113,0.16514702448041932,2.2998097859281788
carbon_feedback_gain,13.333333333333336,1.007040820660989,0.15249566479568388,0.17845243606965164,2.3890601676263175
carbon_feedback_gain,16.66666666666667,1.018238234639014,0.16369307877370876,0.1915557974323247,2.49813149175741
carbon_feedback_gain,20.0,1.029027639173999,0.17448248330869376,0.20418170076924053,2.606359997131697
tau_carbon_kyr,20.0,0.8576044291744943,0.0030592733091890922,0.0035800019322458133,2.049835855969514
tau_carbon_kyr,36.23312815492117,0.865617079834453,0.011071923969147801,0.012956511300958068,2.011750584620061
tau_carbon_kyr,65.64197879454706,0.8828449096425335,0.028299753777228265,0.03311674471850721,2.0800663452609904
tau_carbon_kyr,118.9207115002721,0.9070016741591055,0.05245651829380027,0.061385308820437044,2.073806324123297
tau_carbon_kyr,215.44346900318823,0.9158043966716372,0.06125924080633194,0.07168637068020278,2.0478713463049996
tau_carbon_kyr,390.30954112666547,0.9121496077508262,0.05760445188552099,0.06740948853333702,2.0354889776900134
tau_carbon_kyr,707.1067811865474,0.899082117012757,0.04453696114745176,0.05211773870785565,1.9989068273591646
