final_obliquity_deg,final_eccentricity,attractor_ice_mean,attractor_temperature_mean,attractor_spread_temperature_k,delta10_temperature_k,delta50_temperature_k,delta200_temperature_k,attractor_spread_ice_fraction,delta10_ice_fraction,delta50_ice_fraction,delta200_ice_fraction,attractor_spread_co2_ppm,delta10_co2_ppm,delta50_co2_ppm,delta200_co2_ppm,attractor_spread_productivity,delta10_productivity,delta50_productivity,delta200_productivity
50.0,0.18,1.8060492195962168e-09,0.2210747949632732,1.8083784469880015e-11,0.0011673064496451474,3.867218141967443e-06,2.1570079056232316e-10,6.204425379221783e-12,3.4444292501961246e-09,1.24838175387242e-09,7.410909510739613e-11,7.256062417582143e-10,0.15275532993467777,0.0005064793226523534,8.707232268534426e-09,2.5712765250318625e-12,0.00017488377658775311,5.797061691237282e-07,3.06676906092207e-11
50.0,0.3,9.357622968839303e-14,1.494366134249712,4.574118861455645e-14,0.0054487888224840075,3.650696970447509e-05,2.446931546273845e-13,0.0,0.0,0.0,0.0,5.5422333389287814e-12,0.6626586878184497,0.004432048514402709,2.9189095585024916e-11,1.1102230246251565e-16,2.0617685506096883e-06,2.540431698339063e-09,0.0
60.0,0.0,1.2621966826957581e-05,-0.3938233675416642,1.1968282076502135e-07,0.0011308042936111762,2.14409680232841e-05,1.4565450219827802e-06,4.3405174843740325e-08,2.4849787342354656e-05,8.946169777390343e-06,5.287107234123438e-07,6.4232186218760035e-06,0.17201825936807325,0.0017787057554699004,7.842710803629416e-05,2.4842498280719383e-08,0.0002444014744126255,4.424155917837069e-06,3.023227378995408e-07
60.0,0.02,4.499898863138776e-06,-0.38657099596043476,4.2664617061483057e-08,0.0010252774813525323,6.060047717637573e-06,5.162198144503805e-07,1.5464375991826608e-08,8.78304835026559e-06,3.164911330935694e-06,1.8727547299217485e-07,2.2827981922546314e-06,0.14844270830776907,0.0008427835183795196,2.7710694922689072e-05,8.826176123299945e-09,0.00022057821410126355,1.231972136583881e-06,1.0678808137765117e-07
60.0,0.05,8.060769569401412e-07,-0.34846865128756765,7.663384482547997e-09,0.0008471521094485235,5.879895059457407e-07,9.194154629299511e-08,2.7693424140237354e-09,1.554066314823609e-06,5.60876623430431e-07,3.3253839489587915e-08,4.0346574792238243e-07,0.11909548902404765,0.00037966743838069306,4.856169354638951e-06,1.5570561506805802e-09,0.00017901066101055907,1.3676228061143547e-07,1.868007992733567e-08
60.0,0.1,2.7465190430937467e-08,-0.2104902274397669,2.6409208153665986e-10,0.0006446565079324812,1.6558861413717985e-06,3.12738504537613e-09,9.435295261573028e-11,5.1932388565655295e-08,1.8802796982645368e-08,1.118270040071283e-09,1.3088907735436806e-08,0.08848010446031651,0.0002367809915426733,1.5550251930562808e-07,5.0004222984512126e-11,0.00012724573362610236,3.272275519439205e-07,5.921269030650933e-10
60.0,0.18,2.4153284261247998e-11,0.22107480025026197,2.4619195571062846e-13,0.0009628486005048564,3.192974687413197e-06,2.8139851560027296e-12,8.297516304384152e-14,4.4304699782089786e-11,1.6165008667030247e-11,9.65560334601051e-13,9.833911462919787e-12,0.12599018535777873,0.000417629454091184,1.1317524695186876e-10,3.5083047578154947e-14,0.00014426155330488077,4.786107372090065e-07,4.009570453433753e-13
60.0,0.3,9.357622968839303e-14,1.494366134249712,4.574118861455645e-14,0.005210486752549204,3.490990719934306e-05,2.298161660974074e-13,0.0,0.0,0.0,0.0,5.5422333389287814e-12,0.6336301889957241,0.004238158531677527,2.76543232757831e-11,1.1102230246251565e-16,1.9030263796460112e-06,2.42642084202771e-09,0.0
70.0,0.0,1.463898432547379e-06,-0.3937918089515957,1.3868321380172688e-08,0.000994823798215444,2.823276274155351e-07,1.6387281498442263e-07,5.0296081100119975e-09,2.755023878410557e-06,9.996119287997658e-07,5.948301945298617e-08,7.442930893830635e-07,0.1412030139078695,0.0004955819478027479,8.823000570146178e-06,2.878600247058216e-09,0.0002145860207833361,3.856965885562502e-08,3.4013242000696664e-08
70.0,0.02,4.786806166450422e-07,-0.3865596170121298,4.537011877303598e-09,0.0008621220545671493,1.2294809458857081e-06,5.3353654660970307e-08,1.6445024276356801e-09,8.949089550644258e-07,3.249051445796233e-07,1.9355410276471615e-08,2.4275536247841956e-07,0.12148866722185403,0.00034528161882008135,2.8638231412969617e-06,9.385826560404098e-10,0.00018534296026673225,2.715394105679003e-07,1.103698449300694e-08
70.0,0.05,7.452213996735993e-08,-0.3484665757058239,7.084479114460862e-10,0.0006819221825372923,1.5554832746289549e-06,8.273849105844278e-09,2.56011718070526e-10,1.3798462638356513e-07,5.015155753998835e-08,2.992471769671376e-09,3.729738295987772e-08,0.09531208754343368,0.00024338410919710896,4.3697978924228664e-07,1.4394307967791065e-10,0.00014407656437026573,3.2981317682478917e-07,1.6810260405897282e-09
70.0,0.1,1.9459326074458168e-09,-0.2104901543101593,1.87216631086784e-11,0.0004936673425108978,1.3009852448814252e-06,2.162082457513037e-10,6.684974953562655e-12,3.547116384571436e-09,1.2924211117849972e-09,7.730890635903934e-11,9.258940281142714e-10,0.06773468502962032,0.00017927152758545617,1.0749673151622119e-08,3.544942117628125e-12,9.744489944096824e-05,2.5679660992095066e-07,4.093608785282754e-11
70.0,0.18,1.00547522146226e-12,0.22107480031893648,3.799738301779598e-14,0.0008195743672603506,2.7178836520674876e-06,1.1669831767591177e-13,3.4541667037863285e-15,1.7865084671174948e-12,6.553544496037115e-13,3.9339900896838525e-14,5.314859663485549e-12,0.10723772942615994,0.0003554821633429128,3.851141627819743e-12,5.662137425588298e-15,0.0001228006615128785,4.07396739288135e-07,1.5265566588595902e-14
70.0,0.3,9.357622968839303e-14,1.494366134249712,4.574118861455645e-14,0.005032632951239457,3.371798565277029e-05,2.227107387398064e-13,0.0,0.0,0.0,0.0,5.5422333389287814e-12,0.6119679454595115,0.0040934544604454,2.674482857401017e-11,1.1102230246251565e-16,1.7887042839670464e-06,2.3413572747266187e-09,0.0
