tau_carbon_memory_myr,tau_regolith_recovery_myr,regolith_erosion_rate,bedrock_ice_gain,delta10_temperature_k,delta200_temperature_k,ablated10_temperature_k,delta10_ice_fraction,delta200_ice_fraction,ablated10_ice_fraction,delta10_co2_ppm,delta200_co2_ppm,ablated10_co2_ppm,delta10_productivity,delta200_productivity,ablated10_productivity
2.7144176165949068,164.75489724420657,0.03,0.5,0.0017446964159599787,5.434486212152478e-07,7.862927198232228e-09,0.00022775183525081122,1.9287838076698094e-07,2.773858920335215e-11,0.22768693599829248,5.084912174879719e-05,1.695833191206475e-06,0.00028743736421033006,1.0036429723414564e-07,1.1308683156574517e-09
2.7144176165949068,271.4417616594907,0.03,0.5,0.001774236709507715,9.238751303985993e-07,7.862927198232228e-09,0.0002498163188451863,3.273965160088821e-07,2.773858920335215e-11,0.21339056969307535,8.590984484158071e-05,1.695833191206475e-06,0.0002939029418026762,1.7056026549444603e-07,1.1308683156574517e-09
2.7144176165949068,447.213595499958,0.03,0.5,0.0017912505427304382,1.268011555977111e-06,7.862927198232228e-09,0.00026330509296906834,4.4893691186764784e-07,2.773858920335215e-11,0.20437977996880363,0.0001174704926540926,1.695833191206475e-06,0.00029769443443783405,2.340413814416742e-07,1.1308683156574517e-09
2.7144176165949068,736.8062997280774,0.03,0.5,0.001801080590730919,1.5333232479264325e-06,7.862927198232228e-09,0.00027147557723500304,5.425696981142814e-07,2.773858920335215e-11,0.19879829968783724,0.00014172879062357424,1.695833191206475e-06,0.0002999177481931292,2.8297316764791525e-07,1.1308683156574517e-09
2.7144176165949068,1213.9244620058346,0.03,0.5,0.0018068243271742723,1.719261109700554e-06,7.862927198232228e-09,0.00027641536969097436,6.081608216468304e-07,2.773858920335215e-11,0.19537202305210144,0.0001586983313472956,1.695833191206475e-06,0.00030123122705616456,3.172620789693159e-07,1.1308683156574517e-09
2.7144176165949068,2000.0,0.03,0.5,0.0018102190407782714,1.8423414247514813e-06,7.862927198232228e-09,0.00027940331908304916,6.51566597842379e-07,2.773858920335215e-11,0.19327890879532106,0.00016991857111747777,1.695833191206475e-06,0.00030201346994152,3.399578302754058e-07,1.1308683156574517e-09
4.47213595499958,5.0,0.03,0.5,0.011928676470866373,0.0,7.862927198232228e-09,4.1678772780273654e-05,0.0,2.773858920335215e-11,3.0767398674057915,0.0,1.695833191206475e-06,0.0018219877826208264,0.0,1.1308683156574517e-09
4.47213595499958,8.237744862210329,0.03,0.5,0.011837849302136494,0.0,7.862927198232228e-09,2.7367105133735414e-05,0.0,2.773858920335215e-11,3.067549232871926,0.0,1.695833191206475e-06,0.001806620054149305,0.0,1.1308683156574517e-09
4.47213595499958,13.572088082974531,0.03,0.5,0.011631883045701175,1.5010215292932116e-13,7.862927198232228e-09,2.1013784877232933e-05,5.850875339774575e-14,2.773858920335215e-11,3.020385603146508,2.0975221559638157e-11,1.695833191206475e-06,0.0017744626776756978,2.7644553313166398e-14,1.1308683156574517e-09
4.47213595499958,22.360679774997894,0.03,0.5,0.011316966888188285,1.379452108096757e-11,7.862927198232228e-09,4.697829276945065e-05,5.210998299531866e-12,2.773858920335215e-11,2.912627780284197,1.6169394712051144e-09,1.695833191206475e-06,0.0017286528097633092,2.578576241418773e-12,1.1308683156574517e-09
4.47213595499958,36.84031498640386,0.03,0.5,0.010946783080453715,3.2607132549600237e-09,7.862927198232228e-09,0.00010326981335045948,1.2004451321878662e-09,2.773858920335215e-11,2.76027854141941,3.497313798561663e-07,1.695833191206475e-06,0.0016771655887015402,6.064896640456396e-10,1.1308683156574517e-09
4.47213595499958,60.696223100291725,0.03,0.5,0.010582728276996134,4.7178132955849605e-08,7.862927198232228e-09,0.00016454457661296829,1.713840452888249e-08,2.773858920335215e-11,2.6045391563752673,4.8201594609054155e-06,1.695833191206475e-06,0.0016270802690681874,8.751638497228598e-09,1.1308683156574517e-09
4.47213595499958,100.0,0.03,0.5,0.010272529985022594,2.183211678108421e-07,7.862927198232228e-09,0.0002129848164941217,7.872372898010127e-08,2.773858920335215e-11,2.4755594181957576,2.1694177888775812e-05,1.695833191206475e-06,0.0015840789638522368,4.0437471426901794e-08,1.1308683156574517e-09
4.47213595499958,164.75489724420657,0.03,0.5,0.01003673891170509,5.358970198710011e-07,7.862927198232228e-09,0.00024566157633293395,1.9241400850411594e-07,2.773858920335215e-11,2.3816193298015094,5.239043125015996e-05,1.695833191206475e-06,0.0015510288842147113,9.917019017091633e-08,1.1308683156574517e-09
4.47213595499958,271.4417616594907,0.03,0.5,0.00987159897226686,9.121190089889097e-07,7.862927198232228e-09,0.00026617881182966485,3.2667524269003323e-07,2.773858920335215e-11,2.3181717522095653,8.831143856014023e-05,1.695833191206475e-06,0.0015276735602074154,1.6870164862292647e-07,1.1308683156574517e-09
4.47213595499958,447.213595499958,0.03,0.5,0.009762041822834577,1.2527521804361896e-06,7.862927198232228e-09,0.000278703121029622,4.480025933562004e-07,2.773858920335215e-11,2.277155823438534,0.0001205900247214231,1.695833191206475e-06,0.0015120835513905695,2.3162923423747372e-07,1.1308683156574517e-09
