test_id,wp,technical_outcome,scientific_verdict,criterion_id,metric,threshold,message,duration_s
R2-013,R2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.8229998204333242e-06
R2-014,R2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.5020000319054816e-06
R2-015,R2,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.6229996617767029e-06
R3-001,R3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,2.0229999790899456e-06
R3-002,R3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.4919996829121374e-06
R3-003,R3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.4830002328380942e-06
R3-004,R3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.4719998944201507e-06
R3-005,R3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.782999788702e-06
R3-006,R3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.3220001164881978e-06
R3-007,R3,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",7.009998626017477e-07
R3-008,R3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.392000285704853e-06
R3-009,R3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.612000232853461e-06
R3-010,R3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.3019998732488602e-06
R3-011,R3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.421999968442833e-06
R3-012,R3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.5020000319054816e-06
R3-013,R3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.3220001164881978e-06
R3-014,R3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.3419999049801845e-06
R3-015,R3,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.2919999790028669e-06
R4-001,R4,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,2.1040000319771934e-06
R4-002,R4,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,2.06300001082127e-06
R4-003,R4,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.8829996406566352e-06
R4-004,R4,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.9530002646206412e-06
R4-005,R4,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,2.2029998945072293e-06
R4-006,R4,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,2.383000264671864e-06
R4-007,R4,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,2.103000042552594e-06
R4-008,R4,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,2.4330001906491816e-06
R4-009,R4,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.9419999262026977e-06
R4-010,R4,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.973000053112628e-06
R4-011,R4,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.883000095403986e-06
R4-012,R4,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.912999778141966e-06
R4-013,R4,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,2.0229999790899456e-06
R4-014,R4,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.9530002646206412e-06
R4-015,R4,blocked,undetermined,,,,Pare-feu empirique: le protocole n'est pas couvert par une source mesurée admissible.,1.8529999579186551e-06
