phase,temperature,pressure,gibbs_energy,composition,state,modele_thermodynamique,modele_pression,reference,temperature_max_source
alabandite,1200.0,50000.0,-223207.088,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1400.0,1.0,-362122.37,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1400.0,1000.0,-359978.434,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1400.0,5000.0,-351394.106,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1400.0,10000.0,-340663.695,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1400.0,20000.0,-319202.874,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1400.0,30000.0,-297742.053,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1400.0,50000.0,-254820.411,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1600.0,1.0,-395404.403,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1600.0,1000.0,-393260.467,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1600.0,5000.0,-384676.139,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1600.0,10000.0,-373945.728,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1600.0,20000.0,-352484.907,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1600.0,30000.0,-331024.086,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1600.0,50000.0,-288102.444,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1800.0,1.0,-430183.249,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1800.0,1000.0,-428039.313,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1800.0,5000.0,-419454.985,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
alabandite,1800.0,10000.0,-408724.574,MnS,cr,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1803.0
