PGD ID,PGD Type,PGD Subtype,Type,Grain Label,Reference,Data Published,Source,Technique,Size a (µm),Size b (µm),12C/13C,err+[12C/13C],err-[12C/13C],14N/15N,err+[14N/15N],err-[14N/15N],26Al/27Al,err[26Al/27Al],d(29Si/28Si),err[d(29Si/28Si)],d(30Si/28Si),err[d(30Si/28Si)],44Ti/48Ti,err[44Ti/48Ti]
SiC-2018-NGU-000435,M,,M,MUR52-184-3,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,33.99872,1.378838,1.275391,,,,,,48.60079,27.6362187860226,9.701729,33.4388068310921,,
SiC-2018-NGU-000436,Y,,Y,MUR52-201-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,110.1185,5.011467,4.593391,,,,,,77.34799,26.8200877125953,-115.7484,20.4269194112742,,
SiC-2018-NGU-000437,M,,M,MUR52-203-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,54.31028,0.8818855,0.8541451,,,,,,53.44629,12.5152902459309,65.84072,15.655744987991,,
SiC-2018-NGU-000438,AB,,AB,MUR52-204-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,3.016906,0.03535175,0.03454208,,,,,,-9.743094,12.9924183041433,-24.60205,16.5094576135063,,
SiC-2018-NGU-000439,M,,M,MUR52-204-3,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,42.28589,1.627396,1.511086,,,,,,82.06141,22.2486472428345,45.68768,31.3934149201965,,
SiC-2018-NGU-000440,X,X2,X,MUR52-207-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,221.0993,5.57309,5.305618,,,,,,-480.0395,11.617728395217,-622.0919,14.014881470072,,
SiC-2018-NGU-000441,X,X1,X,MUR52-207-2,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,894.7188,59.68896,52.66241,,,,,,-332.8805,14.2356607536979,-463.5078,14.940930725287,,
SiC-2018-NGU-000442,M,,M,MUR52-207-3,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,60.56271,1.415367,1.352169,,,,,,-2.919555,22.5093526145965,10.18238,18.9490325474484,,
SiC-2018-NGU-000443,M,,M,MUR52-207-4,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,56.09777,2.168522,2.012901,,,,,,64.71503,13.961668907623,49.83842,25.732521993192,,
SiC-2018-NGU-000444,M,,M,MUR52-207-7,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,57.93119,1.532925,1.455875,,,,,,78.94456,22.2688564054637,93.98282,26.30335941679,,
SiC-2018-NGU-000445,Y,,Y,MUR52-209-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,129.0255,3.813507,3.600677,,,,,,-6.001234,14.6475355782983,43.95676,23.9517607604741,,
SiC-2018-NGU-000446,M,,M,MUR52-211-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,61.28153,2.10075,1.965965,,,,,,53.31874,17.9166098810299,53.7318,22.23386540523,,
SiC-2018-NGU-000447,M,,M,MUR52-211-2,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,53.0278,2.099449,1.945408,,,,,,78.95947,20.943410112992,94.34175,23.3801467658166,,
SiC-2018-NGU-000448,M,,M,MUR52-211-3,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,45.23506,2.609871,2.33987,,,,,,-39.09379,20.1553994231302,2.083659,40.8337767500458,,
SiC-2018-NGU-000449,Z,,Z,MUR52-212-2,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,51.38029,3.996395,3.458401,,,,,,-101.6432,29.191571289017,168.8002,34.8385023842176,,
