group,lab_id,sample_name,sample_note,epsilon46Ti,epsilon46Ti_2sigma,epsilon48Ti,epsilon48Ti_2sigma,epsilon50Ti,epsilon50Ti_2sigma,Ti_reference,epsilon53Cr,epsilon53Cr_2sigma,epsilon54Cr,epsilon54Cr_2sigma,Cr_reference,epsilon94Mo,epsilon94Mo_2sigma,epsilon95Mo,epsilon95Mo_2sigma,Mo_reference
Bulk Allende,MS-A II,Allende (MS-A),,0.6343755617719473,0.08541509761340757,-0.024960991799857526,0.04997794069478813,3.21658760830063,0.0768449063898815,this study,,,,,,,,,,
Bulk Allende,MS-A III,Allende (MS-A),,0.4972229773478887,0.07398542694071185,-0.04942908238186883,0.06507379792284582,3.390911554172001,0.09273354281503457,this study,,,,,,,,,,
Allende subsamples,A2,Allende (A2),,0.6413293304230461,0.037654679114578156,0.06075182752908933,0.04626529577970098,3.7979099349411554,0.0736682242601473,this study,,,,,,,,,,
Allende subsamples,A4,Allende (A4),,0.4658571161863224,0.09604378418513759,-0.011296382445526486,0.024252894495034923,2.222253733671951,0.10915771511515972,this study,,,,,,,,,,
Allende subsamples,A6,Allende (A6),,0.3578137332261765,0.06236210431324216,-0.04185413527188486,0.023804277586248992,2.350998954030903,0.06207713563303293,this study,,,,,,,,,,
Allende subsamples,B1,Allende (B1),,0.43974830655546526,0.0680415206535693,-0.020596978334101273,0.041362635923243296,2.839438723485696,0.07827976707751294,this study,,,,,,,,,,
Allende subsamples,B6,Allende (B6),,0.41471322675046274,0.06189786280267509,0.03533335332339682,0.042416062899957696,2.896419384215365,0.05984566272965414,this study,,,,,,,,,,
Allende subsamples,C5,Allende (C5),,0.714123165363271,0.07545229998105568,-0.005875937508873867,0.05987951317364604,4.031030131359525,0.06944965916046972,this study,,,,,,,,,,
Allende subsamples,D1,Allende (D1),,0.44808439289546376,0.06253720050190124,-0.11659174578036093,0.03711712731600752,3.0631280659228337,0.06207713563303293,this study,,,,,,,,,,
Allende subsamples,D4,Allende (D4),,0.41054781983446936,0.07336352847296335,0.0027109548104777203,0.03845659913823894,2.1585140740590765,0.10047388075911463,this study,,,,,,,,,,
Allende subsamples,E2,Allende (E2),,0.4980280433961963,0.04779922943167448,0.006303550967184508,0.036753298877032034,2.9812501159985163,0.09252434770415302,this study,,,,,,,,,,
Allende subsamples,F2,Allende (F2),,0.455324121955489,0.06957642813060046,-0.0562439215757398,0.04396717539833879,2.907068219019178,0.09550902229361359,this study,,,,,,,,,,
Allende subsamples,G1,Allende (G1),,0.5912354673528378,0.0669302435680156,-0.064258967103364,0.08589954892758424,3.0108472496450287,0.06406498648092565,this study,,,,,,,,,,
Allende subsamples,G2,Allende (G2),,0.6125180655607904,0.07428037412754769,0.0637126237072612,0.03825071798907754,3.7758978150263682,0.08431064884179296,this study,,,,,,,,,,
Ungrouped chondrites,UCC1,NWA 11086,CM an.,0.4828740243355926,0.07102404872865646,-0.06723279423252844,0.0352120690261412,2.6765362317777712,0.10758288413714784,this study,,,,,,,,,,
Ungrouped chondrites,UCC2,NWA 12957,C3.00-ung.,0.4246099369631384,0.08091920074194162,0.013307331962382948,0.022540267037785305,3.0533241624890786,0.09600215860871657,this study,,,,,,,,,,
Ungrouped chondrites,UCC3,NWA 12416,C3-ung.,0.4383290936671447,0.0925949610410344,-0.0001606115416589541,0.045581401504707075,3.080478109726955,0.06858110690337968,this study,,,,,,,,,,
Ungrouped chondrites,UCC4,NWA 5958,C2-ung.,0.45488493197121116,0.06344420796413136,0.0124665797665355,0.03546914888041812,2.810608216690694,0.10701173532237257,this study,,,,,,,,,,
Ungrouped chondrites,UCC5,Acfer 094,C2-ung.,0.37890670279194794,0.07145983443878061,0.053756178031332084,0.046243136355350246,3.4108157122809684,0.08992652902779526,this study,,,,,,,,,,
Ungrouped chondrites,UCC6,GRO 95577,CR1,0.31851823597002965,0.07714310058472892,-0.06489389522250473,0.03231854580456748,1.9147648116102367,0.08559183189457842,this study,,,,,,,,,,
Ungrouped chondrites,UCC7,NWA 11024,CM-an.,0.44626247199971064,0.07086661111475911,-0.002324210773072202,0.04059891209764084,2.8111558619780355,0.10350524641832087,this study,,,,,,,,,,
Ungrouped chondrites,UCC8,Essebi,C2-ung.,0.4510001063631937,0.04475236355670914,0.018540907678738377,0.03318979396707027,2.968651169896012,0.09182741265882287,this study,,,,,,,,,,
