source_file,condition,generation,well,well_index,time_seconds,temperature_c,turbidity_A400
FR_inc.xlsx,FR,gen0,B4,16,1813.0,22.2,0.414
FR_inc.xlsx,FR,gen0,B5,17,1813.0,22.2,0.528
FR_inc.xlsx,FR,gen0,B6,18,1813.0,22.2,0.511
FR_inc.xlsx,FR,gen0,B7,19,1813.0,22.2,0.416
FR_inc.xlsx,FR,gen0,B8,20,1813.0,22.2,0.506
FR_inc.xlsx,FR,gen0,B9,21,1813.0,22.2,0.421
FR_inc.xlsx,FR,gen0,B10,22,1813.0,22.2,0.604
FR_inc.xlsx,FR,gen0,B11,23,1813.0,22.2,0.538
FR_inc.xlsx,FR,gen0,B12,24,1813.0,22.2,0.428
FR_inc.xlsx,FR,gen0,C1,25,1813.0,22.2,0.447
FR_inc.xlsx,FR,gen0,C2,26,1813.0,22.2,0.358
FR_inc.xlsx,FR,gen0,C3,27,1813.0,22.2,0.408
FR_inc.xlsx,FR,gen0,C4,28,1813.0,22.2,0.406
FR_inc.xlsx,FR,gen0,C5,29,1813.0,22.2,0.498
FR_inc.xlsx,FR,gen0,C6,30,1813.0,22.2,0.669
FR_inc.xlsx,FR,gen0,C7,31,1813.0,22.2,0.468
FR_inc.xlsx,FR,gen0,C8,32,1813.0,22.2,0.395
FR_inc.xlsx,FR,gen0,C9,33,1813.0,22.2,0.422
FR_inc.xlsx,FR,gen0,C10,34,1813.0,22.2,0.579
FR_inc.xlsx,FR,gen0,C11,35,1813.0,22.2,0.446
FR_inc.xlsx,FR,gen0,C12,36,1813.0,22.2,0.565
FR_inc.xlsx,FR,gen0,D1,37,1813.0,22.2,0.487
FR_inc.xlsx,FR,gen0,D2,38,1813.0,22.2,0.502
FR_inc.xlsx,FR,gen0,D3,39,1813.0,22.2,0.515
FR_inc.xlsx,FR,gen0,D4,40,1813.0,22.2,0.586
FR_inc.xlsx,FR,gen0,D5,41,1813.0,22.2,0.519
FR_inc.xlsx,FR,gen0,D6,42,1813.0,22.2,0.626
FR_inc.xlsx,FR,gen0,D7,43,1813.0,22.2,0.402
FR_inc.xlsx,FR,gen0,D8,44,1813.0,22.2,0.422
FR_inc.xlsx,FR,gen0,D9,45,1813.0,22.2,0.516
FR_inc.xlsx,FR,gen0,D10,46,1813.0,22.2,0.428
FR_inc.xlsx,FR,gen0,D11,47,1813.0,22.2,0.603
FR_inc.xlsx,FR,gen0,D12,48,1813.0,22.2,0.456
FR_inc.xlsx,FR,gen0,E1,49,1813.0,22.2,0.374
FR_inc.xlsx,FR,gen0,E2,50,1813.0,22.2,0.55
FR_inc.xlsx,FR,gen0,E3,51,1813.0,22.2,0.62
FR_inc.xlsx,FR,gen0,E4,52,1813.0,22.2,0.542
FR_inc.xlsx,FR,gen0,E5,53,1813.0,22.2,0.647
FR_inc.xlsx,FR,gen0,E6,54,1813.0,22.2,0.479
FR_inc.xlsx,FR,gen0,E7,55,1813.0,22.2,0.56
FR_inc.xlsx,FR,gen0,E8,56,1813.0,22.2,0.473
FR_inc.xlsx,FR,gen0,E9,57,1813.0,22.2,0.524
FR_inc.xlsx,FR,gen0,E10,58,1813.0,22.2,0.482
FR_inc.xlsx,FR,gen0,E11,59,1813.0,22.2,0.417
FR_inc.xlsx,FR,gen0,E12,60,1813.0,22.2,0.365
FR_inc.xlsx,FR,gen0,F1,61,1813.0,22.2,0.413
FR_inc.xlsx,FR,gen0,F2,62,1813.0,22.2,0.497
FR_inc.xlsx,FR,gen0,F3,63,1813.0,22.2,0.456
FR_inc.xlsx,FR,gen0,F4,64,1813.0,22.2,0.553
FR_inc.xlsx,FR,gen0,F5,65,1813.0,22.2,0.474
FR_inc.xlsx,FR,gen0,F6,66,1813.0,22.2,0.378
FR_inc.xlsx,FR,gen0,F7,67,1813.0,22.2,0.435
FR_inc.xlsx,FR,gen0,F8,68,1813.0,22.2,0.451
FR_inc.xlsx,FR,gen0,F9,69,1813.0,22.2,0.489
