scenario,temperature_k,pressure_mpa,species,mole_fraction,source_file
vacuum,1850.0,1e-10,Co(g),0.000225,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,K(g),0.000179,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,CrO2(g),8.03e-07,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,FeO(g),1.3e-05,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,Mg(g),0.104,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,Mn(g),0.000594,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,PO2(g),2.66e-06,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,PO(g),0.000664,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,Ar(g),0.0,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,Zn(g),5.57e-05,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,ZnS(g),8.99e-15,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,ZnOH(g),5.67e-17,Murchison-vacc-Zn-GAS.csv
vacuum,1850.0,1e-10,ZnO(g),6.03e-12,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,H2(g),0.000437,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,C(g),4.68e-17,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,N(g),3.55e-08,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,CH4(g),2.78e-32,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,H2O(g),2.51e-05,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,CO(g),0.0371,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,O2(g),0.00948,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,H2S(g),8.94e-12,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,NaOH(g),1.61e-11,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,KH(g),3.42e-13,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,CO2(g),0.000557,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,N2(g),0.00094,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,Fe(g),0.0844,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,H(g),0.237,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,SO2(g),0.000828,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,Ni(g),0.00499,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,SiO(g),0.103,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,Na(g),0.00165,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,OH(g),0.000894,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,O(g),0.374,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,SO(g),0.00548,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,S2(g),3.39e-07,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,KCl(g),6.55e-10,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,HF(g),2.28e-06,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,NaCl(g),1.58e-09,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,Co(g),0.000228,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,K(g),0.000181,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,CrO2(g),4.68e-06,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,FeO(g),2.67e-05,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,Mg(g),0.105,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,Mn(g),0.000601,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,PO2(g),6.6e-06,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,PO(g),0.000678,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,Ar(g),0.0,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,Zn(g),5.64e-05,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,ZnS(g),1.05e-14,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,ZnOH(g),1.79e-16,Murchison-vacc-Zn-GAS.csv
vacuum,1800.0,1e-10,ZnO(g),9.26e-12,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,H2(g),0.0011,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,C(g),6.43e-18,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,N(g),1.45e-08,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,CH4(g),1.12e-31,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,H2O(g),0.000153,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,CO(g),0.0377,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,O2(g),0.0214,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,H2S(g),2.53e-11,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,NaOH(g),6.95e-11,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,KH(g),5.25e-13,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,CO2(g),0.00145,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,N2(g),0.000974,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,Fe(g),0.0878,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,H(g),0.244,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,SO2(g),0.00352,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,Ni(g),0.0052,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,SiO(g),0.107,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,Na(g),0.00172,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,OH(g),0.00198,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,O(g),0.346,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,SO(g),0.00872,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,S2(g),3.03e-07,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,KCl(g),1.62e-09,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,HF(g),8.84e-06,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,NaCl(g),3.8e-09,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,Co(g),0.000237,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,K(g),0.000188,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,CrO2(g),2.74e-05,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,FeO(g),5.62e-05,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,Mg(g),0.11,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,Mn(g),0.000625,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,PO2(g),1.66e-05,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,PO(g),0.0007,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,Ar(g),0.0,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,Zn(g),5.87e-05,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,ZnS(g),9.87e-15,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,ZnOH(g),6.05e-16,Murchison-vacc-Zn-GAS.csv
vacuum,1750.0,1e-10,ZnO(g),1.43e-11,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,H2(g),0.00283,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,C(g),8.18e-19,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,N(g),5.61e-09,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,CH4(g),4.86e-31,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,H2O(g),0.000946,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,CO(g),0.0374,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,O2(g),0.0445,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,H2S(g),4.87e-11,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,NaOH(g),3.04e-10,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,KH(g),8.19e-13,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,CO2(g),0.00364,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,N2(g),0.00102,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,Fe(g),0.0919,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,H(g),0.248,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,SO2(g),0.00947,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,Ni(g),0.00544,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,SiO(g),0.112,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,Na(g),0.0018,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,OH(g),0.00426,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,O(g),0.298,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,SO(g),0.00884,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,S2(g),1.18e-07,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,KCl(g),4.21e-09,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,HF(g),3.77e-05,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,NaCl(g),9.61e-09,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,Co(g),0.000248,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,K(g),0.000197,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,CrO2(g),0.000141,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,FeO(g),0.000117,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,Mg(g),0.115,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,Mn(g),0.000654,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,PO2(g),4.07e-05,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,PO(g),0.000711,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,Ar(g),0.0,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,Zn(g),6.14e-05,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,ZnS(g),6.16e-15,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,ZnOH(g),2.04e-15,Murchison-vacc-Zn-GAS.csv
vacuum,1700.0,1e-10,ZnO(g),2.14e-11,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,H2(g),0.00719,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,C(g),9.72e-20,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,N(g),2.07e-09,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,CH4(g),2.0999999999999998e-30,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,H2O(g),0.00547,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,CO(g),0.0354,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,O2(g),0.079,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,H2S(g),6.68e-11,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,NaOH(g),1.29e-09,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,KH(g),1.28e-12,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,CO2(g),0.00836,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,N2(g),0.00108,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,Fe(g),0.0979,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,H(g),0.244,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,SO2(g),0.0163,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,Ni(g),0.0058,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,SiO(g),0.119,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,Na(g),0.00192,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,OH(g),0.00834,Murchison-vacc-Zn-GAS.csv
vacuum,1650.0,1e-10,O(g),0.23,Murchison-vacc-Zn-GAS.csv
