time,eccentricity,obliquity,precession
-21467.000,0.1694732563219785E-01,0.3893760993637128E+00,0.5023390932840465E+01
-21468.000,0.1669522351173565E-01,0.3876741869214075E+00,0.4707751310525579E+01
-21469.000,0.1632545872600796E-01,0.3864273826723841E+00,0.4392137825518855E+01
-21470.000,0.1598023302652255E-01,0.3856825928587548E+00,0.4069000832731041E+01
-21471.000,0.1555373978374416E-01,0.3854592708363125E+00,0.3751582968134194E+01
-21472.000,0.1511143138614659E-01,0.3857727152879004E+00,0.3429816133289945E+01
-21473.000,0.1468442623714118E-01,0.3866195284244455E+00,0.3106914308470971E+01
-21474.000,0.1417773168104349E-01,0.3879717854947595E+00,0.2786340720605317E+01
-21475.000,0.1363007728491891E-01,0.3897933867064065E+00,0.2463216691205133E+01
-21476.000,0.1316248407400098E-01,0.3920359337120207E+00,0.2145120524367824E+01
-21477.000,0.1254306540585808E-01,0.3946279582839422E+00,0.1820244208191275E+01
-21478.000,0.1196563161826607E-01,0.3974993741167185E+00,0.1501302820815670E+01
-21479.000,0.1136060489041014E-01,0.4005692851207578E+00,0.1185742485537114E+01
-21480.000,0.1072787983999738E-01,0.4037440318424572E+00,0.8617271419053125E+00
-21481.000,0.1004725373150648E-01,0.4069426500827382E+00,0.5426488671575598E+00
-21482.000,0.9344766351008145E-02,0.4100770705037718E+00,0.2291756047651390E+00
-21483.000,0.8658117929488687E-02,0.4130595175499929E+00,0.6182849612328322E+01
-21484.000,0.7893762248196703E-02,0.4158204953022140E+00,0.5864045778138788E+01
-21485.000,0.7124881151992508E-02,0.4182938650202101E+00,0.5530303600952704E+01
-21486.000,0.6371495913827523E-02,0.4204142710807110E+00,0.5194205845876209E+01
-21487.000,0.5599788270511549E-02,0.4221465252149892E+00,0.4843060631207628E+01
-21488.000,0.4810776937491325E-02,0.4234534797724738E+00,0.4463005201529755E+01
-21489.000,0.4107492415723769E-02,0.4243095047399479E+00,0.4076656767886977E+01
-21490.000,0.3433390285017858E-02,0.4247099190316887E+00,0.3617519778252769E+01
-21491.000,0.2912262012346374E-02,0.4246513156415302E+00,0.3102320616278970E+01
-21492.000,0.2527220338881568E-02,0.4241408150473356E+00,0.2510105881239292E+01
-21493.000,0.2482265763731342E-02,0.4232049399022755E+00,0.1856806634670871E+01
-21494.000,0.2739500143231119E-02,0.4218662521413295E+00,0.1251416449536329E+01
-21495.000,0.3220300433507824E-02,0.4201622170567941E+00,0.6746399628202342E+00
-21496.000,0.3822762415197304E-02,0.4181438115167567E+00,0.2152815588995551E+00
-21497.000,0.4535224083552817E-02,0.4158607847599922E+00,0.6074197230590319E+01
-21498.000,0.5334097355468496E-02,0.4133703294972380E+00,0.5680123951756737E+01
-21499.000,0.6084359849756483E-02,0.4107453660971149E+00,0.5315645258855375E+01
-21500.000,0.6887457456047314E-02,0.4080496936154826E+00,0.4958689445334210E+01
-21501.000,0.7751667605325065E-02,0.4053527969258053E+00,0.4622413706533923E+01
-21502.000,0.8534051279398550E-02,0.4027284223504420E+00,0.4279070609630732E+01
-21503.000,0.9399697463798602E-02,0.4002392444671531E+00,0.3949780487065657E+01
-21504.000,0.1021356773894414E-01,0.3979456614843166E+00,0.3624094916497812E+01
-21505.000,0.1107785512260532E-01,0.3959034151631926E+00,0.3298023807932919E+01
-21506.000,0.1193417087915327E-01,0.3941545472827056E+00,0.2974673865519264E+01
-21507.000,0.1271081324526691E-01,0.3927352745866879E+00,0.2658531660213945E+01
-21508.000,0.1363158062971144E-01,0.3916727558861930E+00,0.2339520775486698E+01
-21509.000,0.1440763997188436E-01,0.3909784464571524E+00,0.2024831886144640E+01
-21510.000,0.1520395856736908E-01,0.3906593964865988E+00,0.1710711376075240E+01
-21511.000,0.1603247389743838E-01,0.3907116804777666E+00,0.1400972971182585E+01
-21512.000,0.1679391773957290E-01,0.3911179554025933E+00,0.1090002998116933E+01
-21513.000,0.1752784043660495E-01,0.3918566654049548E+00,0.7799073334559106E+00
-21514.000,0.1828323139282569E-01,0.3928988021621088E+00,0.4753416299845572E+00
-21515.000,0.1897803260024744E-01,0.3942036159125945E+00,0.1681694697285065E+00
-21516.000,0.1970533126623892E-01,0.3957328299412234E+00,0.6146043944455254E+01
-21517.000,0.2033929801840115E-01,0.3974399033460384E+00,0.5844808058584088E+01
-21518.000,0.2103731463434450E-01,0.3992784944060949E+00,0.5542448150787255E+01
-21519.000,0.2168568469990523E-01,0.4012002089017700E+00,0.5242149771420118E+01
-21520.000,0.2229544727367923E-01,0.4031620258734842E+00,0.4944109759762098E+01
-21521.000,0.2292445903299039E-01,0.4051162406055615E+00,0.4645628075540037E+01
-21522.000,0.2356609119107174E-01,0.4070237074109541E+00,0.4352117038675924E+01
-21523.000,0.2412498783560841E-01,0.4088464068047840E+00,0.4053951571497563E+01
-21524.000,0.2472139382678307E-01,0.4105493051679124E+00,0.3763301515542534E+01
-21525.000,0.2532233671923038E-01,0.4121032167495197E+00,0.3470890812990095E+01
-21526.000,0.2586147030086629E-01,0.4134836605794937E+00,0.3177591917961735E+01
-21527.000,0.2642312470804142E-01,0.4146666748177772E+00,0.2889454295289655E+01
-21528.000,0.2693807827899883E-01,0.4156365094160561E+00,0.2599705425925643E+01
-21529.000,0.2751898232167786E-01,0.4163773575768107E+00,0.2309876281396559E+01
-21530.000,0.2797333297064687E-01,0.4168783529289452E+00,0.2022687201421731E+01
-21531.000,0.2847772765150587E-01,0.4171315395143297E+00,0.1734588046905799E+01
-21532.000,0.2901135602595128E-01,0.4171340892427675E+00,0.1447564121994529E+01
-21533.000,0.2941452045613671E-01,0.4168840649437053E+00,0.1160099495189144E+01
-21534.000,0.2988969529104552E-01,0.4163863691892588E+00,0.8724015348200567E+00
-21535.000,0.3032699256422431E-01,0.4156514010014837E+00,0.5868306299682571E+00
-21536.000,0.3072404032174262E-01,0.4146888981161461E+00,0.2972221745302566E+00
-21537.000,0.3112008296506983E-01,0.4135198010937687E+00,0.9947318238173963E-02
-21538.000,0.3148451558927663E-01,0.4121646598988922E+00,0.6005483812510295E+01
-21539.000,0.3185838595080280E-01,0.4106500238918884E+00,0.5714386808805921E+01
-21540.000,0.3219781237539291E-01,0.4090050260659698E+00,0.5425622821763826E+01
-21541.000,0.3246657283261500E-01,0.4072646416081254E+00,0.5134126881805246E+01
-21542.000,0.3285541208914411E-01,0.4054620653836342E+00,0.4843061109890691E+01
-21543.000,0.3309105596824297E-01,0.4036393072486940E+00,0.4549714854566435E+01
-21544.000,0.3335017505702471E-01,0.4018385189915200E+00,0.4257061603514799E+01
-21545.000,0.3365891299376475E-01,0.4001028899844445E+00,0.3962998541705637E+01
-21546.000,0.3383481396740821E-01,0.3984801848132127E+00,0.3668196414399688E+01
-21547.000,0.3408822493009318E-01,0.3970186545727579E+00,0.3372053872780610E+01
-21548.000,0.3424029570351449E-01,0.3957588795644267E+00,0.3077462206864764E+01
-21549.000,0.3443028853706909E-01,0.3947479989234826E+00,0.2780070763796063E+01
-21550.000,0.3456434821715743E-01,0.3940224203226281E+00,0.2483000849401819E+01
-21551.000,0.3463248250859929E-01,0.3936096265504936E+00,0.2186798723572430E+01
-21552.000,0.3474326745664893E-01,0.3935327185404465E+00,0.1889300120558641E+01
-21553.000,0.3479491915044830E-01,0.3938033593265469E+00,0.1592067952667707E+01
-21554.000,0.3474391312941399E-01,0.3944174191962841E+00,0.1295594654711874E+01
-21555.000,0.3477911117514493E-01,0.3953677189897423E+00,0.9994725290774369E+00
-21556.000,0.3469668617091562E-01,0.3966305690366158E+00,0.7038939820021799E+00
-21557.000,0.3459079609942583E-01,0.3981716957359993E+00,0.4080037725229211E+00
-21558.000,0.3446038611820636E-01,0.3999554948255337E+00,0.1150249967627301E+00
-21559.000,0.3432921722084057E-01,0.4019297581570598E+00,0.6105098680010747E+01
-21560.000,0.3410316121514388E-01,0.4040403089393282E+00,0.5811186462173312E+01
-21561.000,0.3389479883072948E-01,0.4062310874373053E+00,0.5522865417203913E+01
-21562.000,0.3363658113600269E-01,0.4084375781860627E+00,0.5231533752549362E+01
-21563.000,0.3338264259258761E-01,0.4105962822760182E+00,0.4943803269986986E+01
-21564.000,0.3305130397753150E-01,0.4126471030442618E+00,0.4657281630103878E+01
-21565.000,0.3270407220436192E-01,0.4145262202433645E+00,0.4371870762918988E+01
-21566.000,0.3238926999527968E-01,0.4161769567099278E+00,0.4088593223427779E+01
-21567.000,0.3192699295796123E-01,0.4175502705767306E+00,0.3805838425172810E+01
-21568.000,0.3152367327109409E-01,0.4186002637130309E+00,0.3525023029579440E+01
-21569.000,0.3106344974270688E-01,0.4192907662845654E+00,0.3247012833542133E+01
-21570.000,0.3055091417664779E-01,0.4196007841142771E+00,0.2966644462291889E+01
-21571.000,0.3002106514632783E-01,0.4195087615658774E+00,0.2691120931198874E+01
-21572.000,0.2945107300478570E-01,0.4190156951973797E+00,0.2416211715740666E+01
-21573.000,0.2887419886301557E-01,0.4181299927266341E+00,0.2139117588919413E+01
-21574.000,0.2822917632024561E-01,0.4168678196184415E+00,0.1867577261256308E+01
-21575.000,0.2755710885811832E-01,0.4152621987057921E+00,0.1594100197368956E+01
-21576.000,0.2692893337035779E-01,0.4133552974761505E+00,0.1322293113672528E+01
-21577.000,0.2618939058118030E-01,0.4111909338339660E+00,0.1051504137220137E+01
-21578.000,0.2545176943302804E-01,0.4088327117932867E+00,0.7814826674174302E+00
-21579.000,0.2479845698436027E-01,0.4063421320664509E+00,0.5138173872011951E+00
-21580.000,0.2399312552447611E-01,0.4037850298459773E+00,0.2448205658858340E+00
-21581.000,0.2331158274178203E-01,0.4012398063319394E+00,0.6262450170430454E+01
-21582.000,0.2258306091318738E-01,0.3987778240315789E+00,0.5999351771346457E+01
-21583.000,0.2189990755372316E-01,0.3964729515134652E+00,0.5736253395901320E+01
-21584.000,0.2124176841900200E-01,0.3944036798115599E+00,0.5475363551333354E+01
-21585.000,0.2058462718857404E-01,0.3926334952459992E+00,0.5222272714006979E+01
-21586.000,0.2005085817702807E-01,0.3912240391712831E+00,0.4964846524689711E+01
-21587.000,0.1949943498585391E-01,0.3902297204235903E+00,0.4716436196208782E+01
-21588.000,0.1902044190437283E-01,0.3896815474572271E+00,0.4470309892115758E+01
-21589.000,0.1868794971081536E-01,0.3895995015273401E+00,0.4226703548890505E+01
-21590.000,0.1836061680146114E-01,0.3899901217800043E+00,0.3987803936707412E+01
-21591.000,0.1813584028724991E-01,0.3908347931259566E+00,0.3752478613169309E+01
-21592.000,0.1808822364287336E-01,0.3921017271667063E+00,0.3519643915361888E+01
-21593.000,0.1805090166795039E-01,0.3937501236152910E+00,0.3290268279811478E+01
-21594.000,0.1816101033077781E-01,0.3957175207161776E+00,0.3059231744762116E+01
-21595.000,0.1839500963642424E-01,0.3979429777894699E+00,0.2834510631596968E+01
-21596.000,0.1869431415831620E-01,0.4003579967630989E+00,0.2604040587529427E+01
-21597.000,0.1910195929631546E-01,0.4028865988561017E+00,0.2374435396834206E+01
-21598.000,0.1960843631828816E-01,0.4054615233304959E+00,0.2144533817308361E+01
-21599.000,0.2017368252922230E-01,0.4080160506543672E+00,0.1909846207867268E+01
