source_file,condition,generation,well,well_index,n,initial,maximum,final,linear_slope_per_hour,peak_gain,post_peak_loss
FR_inc.xlsx,FR,gen1,E10,58,103,0.765,0.849,0.453,-0.015178776962614715,0.08399999999999996,0.39599999999999996
FR_inc.xlsx,FR,gen1,E11,59,103,0.762,0.96,0.611,-0.007298554672055511,0.19799999999999995,0.349
FR_inc.xlsx,FR,gen1,E12,60,103,0.89,1.057,0.53,-0.01961966788208931,0.16699999999999993,0.5269999999999999
FR_inc.xlsx,FR,gen1,E2,50,103,0.654,0.995,0.507,-0.017721126389315944,0.34099999999999997,0.488
FR_inc.xlsx,FR,gen1,E3,51,103,0.829,0.986,0.498,-0.023765079295347685,0.15700000000000003,0.488
FR_inc.xlsx,FR,gen1,E4,52,103,0.746,0.761,0.401,-0.019849514563106758,0.015000000000000013,0.36
FR_inc.xlsx,FR,gen1,E5,53,103,0.62,0.847,0.287,-0.032055638536221016,0.22699999999999998,0.56
FR_inc.xlsx,FR,gen1,E6,54,103,0.688,0.776,0.366,-0.018361375917058356,0.08800000000000008,0.41000000000000003
FR_inc.xlsx,FR,gen1,E7,55,103,0.801,0.915,0.45,-0.019363067258269948,0.11399999999999999,0.465
FR_inc.xlsx,FR,gen1,E8,56,103,0.839,0.947,0.419,-0.02443616834336418,0.10799999999999998,0.528
FR_inc.xlsx,FR,gen1,E9,57,103,0.789,0.95,0.341,-0.032806989412643255,0.16099999999999992,0.609
FR_inc.xlsx,FR,gen1,F1,61,103,0.75,1.189,0.875,-0.008897926459605444,0.43900000000000006,0.31400000000000006
FR_inc.xlsx,FR,gen1,F10,70,103,0.734,0.977,0.446,-0.031136581294205486,0.243,0.5309999999999999
FR_inc.xlsx,FR,gen1,F11,71,103,0.692,0.849,0.46,-0.013035693889206147,0.15700000000000003,0.38899999999999996
FR_inc.xlsx,FR,gen1,F12,72,103,0.806,0.925,0.419,-0.023837894829328233,0.119,0.506
FR_inc.xlsx,FR,gen1,F2,62,103,0.853,0.961,0.376,-0.027879321706277677,0.10799999999999998,0.585
FR_inc.xlsx,FR,gen1,F3,63,103,0.602,0.839,0.42,-0.01625980758248031,0.237,0.419
FR_inc.xlsx,FR,gen1,F4,64,103,0.8,0.938,0.427,-0.021712537890436177,0.1379999999999999,0.5109999999999999
FR_inc.xlsx,FR,gen1,F5,65,103,0.905,1.011,0.451,-0.022945327944471253,0.10599999999999987,0.5599999999999998
