panel,group,row_label,replicate_index,value,source_file
Turbidity,after resuspending,0.161,156,0.745,Fig3-data.xlsx
Turbidity,after resuspending,0.161,157,0.888,Fig3-data.xlsx
Turbidity,after resuspending,0.161,158,0.743,Fig3-data.xlsx
Turbidity,after resuspending,0.161,159,0.819,Fig3-data.xlsx
Turbidity,after resuspending,0.161,160,0.798,Fig3-data.xlsx
Turbidity,after resuspending,0.161,161,0.697,Fig3-data.xlsx
Turbidity,after resuspending,0.161,162,0.755,Fig3-data.xlsx
Turbidity,after resuspending,0.161,163,0.773,Fig3-data.xlsx
Turbidity,after resuspending,0.161,164,0.911,Fig3-data.xlsx
Turbidity,after resuspending,0.161,165,0.768,Fig3-data.xlsx
Turbidity,after resuspending,0.161,166,0.331,Fig3-data.xlsx
Turbidity,after resuspending,0.161,167,0.904,Fig3-data.xlsx
Turbidity,after resuspending,0.161,168,0.835,Fig3-data.xlsx
Turbidity,after resuspending,0.161,169,0.808,Fig3-data.xlsx
Turbidity,after resuspending,0.161,170,0.787,Fig3-data.xlsx
Turbidity,after resuspending,0.161,171,0.874,Fig3-data.xlsx
Turbidity,after resuspending,0.161,172,0.699,Fig3-data.xlsx
Turbidity,after resuspending,0.161,173,0.87,Fig3-data.xlsx
Turbidity,after resuspending,0.161,174,0.889,Fig3-data.xlsx
Turbidity,after resuspending,0.161,175,0.772,Fig3-data.xlsx
Turbidity,after resuspending,0.161,176,0.706,Fig3-data.xlsx
Turbidity,after resuspending,0.161,177,0.776,Fig3-data.xlsx
Turbidity,after resuspending,0.161,178,1.623,Fig3-data.xlsx
Turbidity,after resuspending,0.161,179,0.949,Fig3-data.xlsx
Turbidity,after resuspending,0.161,180,0.425,Fig3-data.xlsx
Turbidity,after resuspending,0.161,181,0.929,Fig3-data.xlsx
Turbidity,after resuspending,0.161,182,0.691,Fig3-data.xlsx
Turbidity,after resuspending,0.161,183,0.646,Fig3-data.xlsx
Turbidity,after resuspending,0.161,184,0.774,Fig3-data.xlsx
Turbidity,after resuspending,0.161,185,0.795,Fig3-data.xlsx
Turbidity,after resuspending,0.161,186,0.636,Fig3-data.xlsx
Turbidity,after resuspending,0.161,187,0.784,Fig3-data.xlsx
Turbidity,after resuspending,0.161,188,0.682,Fig3-data.xlsx
Turbidity,after resuspending,0.161,189,0.818,Fig3-data.xlsx
Turbidity,after resuspending,0.161,190,1.125,Fig3-data.xlsx
Turbidity,after resuspending,0.161,191,1.384,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,1,7324.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,2,7787.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,3,9626.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,4,7468.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,5,7220.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,6,6871.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,7,6726.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,8,7493.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,9,5959.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,10,6603.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,11,8885.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,12,8355.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,13,6806.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,14,5572.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,15,6651.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,16,6515.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,17,7410.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,18,7694.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,19,5356.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,20,6908.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,21,6984.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,22,7350.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,23,6818.0,Fig3-data.xlsx
Rhodamine B,before resuspending,560.0,24,5754.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,25,2007.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,26,2935.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,27,2313.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,28,2157.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,29,2626.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,30,2630.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,31,3122.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,32,4056.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,33,3955.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,34,4934.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,35,3784.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,36,4734.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,37,5718.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,38,3020.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,39,2572.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,40,5372.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,41,4783.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,42,4922.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,43,4497.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,44,5101.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,45,3767.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,46,3146.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,47,3210.0,Fig3-data.xlsx
Rhodamine B,after resuspending,560.0,48,4509.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,1,1745.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,2,2414.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,3,9216.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,4,1408.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,5,2617.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,6,3315.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,7,1597.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,8,5254.0,Fig3-data.xlsx
Rhodamine B,before resuspending,565.0,9,2223.0,Fig3-data.xlsx
