sample_id,tracer,final_value,uncertainty,candidate_source,unit,compilation,reference
s_MZ-7 [19488],MO,1.8,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-8 [19488],MO,2.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-9 [19488],MO,1.2,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-10 [19488],MO,11.3,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-11 [19488],MO,0.9,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-12 [19488],MO,0.8,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-13 [19488],MO,1.2,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-14 [19488],MO,1.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-15 [19488],MO,0.9,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-16 [19488],MO,0.9,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-17 [19488],MO,0.8,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-18 [19488],MO,0.7,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-19 [19488],MO,1.5,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-25 [19488],MO,1.2,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-1 [19488],W,0.9,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-2 [19488],W,0.9,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-5 [19488],W,1.1,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-6 [19488],W,1.3,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-7 [19488],W,1.4,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-8 [19488],W,1.3,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-9 [19488],W,1.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-10 [19488],W,0.4,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-11 [19488],W,0.7,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
s_MZ-12 [19488],W,0.7,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[19488]
