time,variable,value,region
1872.873374,hadcrut5_surface_temperature_anomaly_C,-0.2918909551999999,global
1872.95551,hadcrut5_surface_temperature_anomaly_C,-0.520900653,global
1873.03833,hadcrut5_surface_temperature_anomaly_C,-0.2368058080199999,global
1873.123203,hadcrut5_surface_temperature_anomaly_C,-0.2723675837750001,global
1873.199863,hadcrut5_surface_temperature_anomaly_C,-0.3901412743499998,global
1873.284736,hadcrut5_surface_temperature_anomaly_C,-0.4620574867499998,global
1873.366872,hadcrut5_surface_temperature_anomaly_C,-0.3187276886,global
1873.451745,hadcrut5_surface_temperature_anomaly_C,-0.296650710225,global
1873.533881,hadcrut5_surface_temperature_anomaly_C,-0.157764054408,global
1873.618754,hadcrut5_surface_temperature_anomaly_C,-0.2166087101995,global
1873.703628,hadcrut5_surface_temperature_anomaly_C,-0.3776319470999998,global
1873.785763,hadcrut5_surface_temperature_anomaly_C,-0.3765355074500002,global
1873.870637,hadcrut5_surface_temperature_anomaly_C,-0.4293389411,global
1873.952772,hadcrut5_surface_temperature_anomaly_C,-0.3195090589049997,global
1874.03833,hadcrut5_surface_temperature_anomaly_C,-0.1817291949034999,global
1874.123203,hadcrut5_surface_temperature_anomaly_C,-0.4286056962000001,global
1874.199863,hadcrut5_surface_temperature_anomaly_C,-0.6642840855,global
1874.284736,hadcrut5_surface_temperature_anomaly_C,-0.4215341234499998,global
1874.366872,hadcrut5_surface_temperature_anomaly_C,-0.3107774140200001,global
1874.451745,hadcrut5_surface_temperature_anomaly_C,-0.55560215635,global
1874.533881,hadcrut5_surface_temperature_anomaly_C,-0.17058668288,global
1874.618754,hadcrut5_surface_temperature_anomaly_C,-0.2874548616800002,global
1874.703628,hadcrut5_surface_temperature_anomaly_C,-0.1597379975014999,global
1874.785763,hadcrut5_surface_temperature_anomaly_C,-0.4668032336000001,global
1874.870637,hadcrut5_surface_temperature_anomaly_C,-0.4218187320000001,global
1874.952772,hadcrut5_surface_temperature_anomaly_C,-0.3160006451500001,global
1875.03833,hadcrut5_surface_temperature_anomaly_C,-0.5755956780000001,global
1875.123203,hadcrut5_surface_temperature_anomaly_C,-0.4426931628999999,global
1875.199863,hadcrut5_surface_temperature_anomaly_C,-0.5591615783,global
1875.284736,hadcrut5_surface_temperature_anomaly_C,-0.34027355815,global
1875.366872,hadcrut5_surface_temperature_anomaly_C,-0.2511827193750002,global
1875.451745,hadcrut5_surface_temperature_anomaly_C,-0.264996871445,global
1875.533881,hadcrut5_surface_temperature_anomaly_C,-0.180925332866,global
1875.618754,hadcrut5_surface_temperature_anomaly_C,-0.22718473961,global
1875.703628,hadcrut5_surface_temperature_anomaly_C,-0.2368047670850001,global
1875.785763,hadcrut5_surface_temperature_anomaly_C,-0.2296853741450002,global
1875.870637,hadcrut5_surface_temperature_anomaly_C,-0.5069946684000002,global
1875.952772,hadcrut5_surface_temperature_anomaly_C,-0.5854724358500002,global
1876.03833,hadcrut5_surface_temperature_anomaly_C,-0.5027443937,global
1876.123203,hadcrut5_surface_temperature_anomaly_C,-0.3275789714999998,global
1876.202601,hadcrut5_surface_temperature_anomaly_C,-0.3378632598000001,global
1876.287474,hadcrut5_surface_temperature_anomaly_C,-0.3943020935499997,global
1876.36961,hadcrut5_surface_temperature_anomaly_C,-0.5481546980500002,global
1876.454483,hadcrut5_surface_temperature_anomaly_C,-0.3242113114200001,global
1876.536619,hadcrut5_surface_temperature_anomaly_C,-0.200593103775,global
1876.621492,hadcrut5_surface_temperature_anomaly_C,-0.3256502938999999,global
1876.706366,hadcrut5_surface_temperature_anomaly_C,-0.4357547288499998,global
1876.788501,hadcrut5_surface_temperature_anomaly_C,-0.3057315354500001,global
1876.873374,hadcrut5_surface_temperature_anomaly_C,-0.6007532273499999,global
1876.95551,hadcrut5_surface_temperature_anomaly_C,-0.62681870795,global
1877.03833,hadcrut5_surface_temperature_anomaly_C,-0.4089500593999999,global
1877.123203,hadcrut5_surface_temperature_anomaly_C,-0.1947625445549999,global
1877.199863,hadcrut5_surface_temperature_anomaly_C,-0.0702425568754999,global
1877.284736,hadcrut5_surface_temperature_anomaly_C,-0.3157728622300002,global
1877.366872,hadcrut5_surface_temperature_anomaly_C,-0.4034898926000001,global
1877.451745,hadcrut5_surface_temperature_anomaly_C,-0.1094527631285,global
1877.533881,hadcrut5_surface_temperature_anomaly_C,0.0166141798656499,global
1877.618754,hadcrut5_surface_temperature_anomaly_C,0.229730920235,global
1877.703628,hadcrut5_surface_temperature_anomaly_C,0.1274313553275,global
1877.785763,hadcrut5_surface_temperature_anomaly_C,0.1245740182266,global
1877.870637,hadcrut5_surface_temperature_anomaly_C,0.0429613378665,global
1877.952772,hadcrut5_surface_temperature_anomaly_C,-0.0277331805884249,global
1878.03833,hadcrut5_surface_temperature_anomaly_C,-0.0405452848416499,global
1878.123203,hadcrut5_surface_temperature_anomaly_C,0.2611604118299999,global
1878.199863,hadcrut5_surface_temperature_anomaly_C,0.4029834435,global
1878.284736,hadcrut5_surface_temperature_anomaly_C,0.2096043936274999,global
1878.366872,hadcrut5_surface_temperature_anomaly_C,-0.0916970901538,global
1878.451745,hadcrut5_surface_temperature_anomaly_C,0.0182263304709999,global
1878.533881,hadcrut5_surface_temperature_anomaly_C,-0.06168844319365,global
1878.618754,hadcrut5_surface_temperature_anomaly_C,-0.0449373816950499,global
1878.703628,hadcrut5_surface_temperature_anomaly_C,0.0277749876602999,global
1878.785763,hadcrut5_surface_temperature_anomaly_C,-0.14774789129,global
1878.870637,hadcrut5_surface_temperature_anomaly_C,-0.1189486064694999,global
1878.952772,hadcrut5_surface_temperature_anomaly_C,-0.2904167693550001,global
1879.03833,hadcrut5_surface_temperature_anomaly_C,-0.2122448808849999,global
1879.123203,hadcrut5_surface_temperature_anomaly_C,-0.2373242324449999,global
1879.199863,hadcrut5_surface_temperature_anomaly_C,-0.24682749474,global
1879.284736,hadcrut5_surface_temperature_anomaly_C,-0.3566356710499997,global
1879.366872,hadcrut5_surface_temperature_anomaly_C,-0.3301404316200001,global
1879.451745,hadcrut5_surface_temperature_anomaly_C,-0.2498453536699998,global
1879.533881,hadcrut5_surface_temperature_anomaly_C,-0.27273143492,global
1879.618754,hadcrut5_surface_temperature_anomaly_C,-0.2621696595799998,global
1879.703628,hadcrut5_surface_temperature_anomaly_C,-0.2289559617649999,global
1879.785763,hadcrut5_surface_temperature_anomaly_C,-0.1502602453294999,global
1879.870637,hadcrut5_surface_temperature_anomaly_C,-0.3753769968,global
1879.952772,hadcrut5_surface_temperature_anomaly_C,-0.5423143811500001,global
1880.03833,hadcrut5_surface_temperature_anomaly_C,-0.3816126238300002,global
1880.03833,land_surface_air_temperature_anomaly_C,-0.3994369804859161,global
1880.03833,sea_surface_temperature_anomaly_C,-0.0845364555716514,global
1880.03833,surface_temperature_anomaly_C,-0.2038255482912063,global
