time_years,elapsed_years,baseline,r00,r01,r02,r03,r04,r05,r06,r07,ensemble_mean,ensemble_std,rms_difference_vs_baseline,median_abs_difference_vs_baseline
-798000,798000,0.0179220893160344,0.0179220884522016,0.0179220899618255,0.0179220899994871,0.0179220888531469,0.0179220871400092,0.0179220889439073,0.017922088204349,0.0179220898908839,0.01792208893072631,9.418590484522936e-10,1.017625072964046e-09,6.646219009170951e-10
-797000,797000,0.0182935937131732,0.0182935938751185,0.0182935936253278,0.0182935934888354,0.0182935938140529,0.0182935941589768,0.0182935938516322,0.0182935938746964,0.018293593550414,0.01829359377988175,2.0289746717258057e-10,2.1358233203570608e-10,1.6173424752241594e-10
-796000,796000,0.0185867877556119,0.018586787039454,0.0185867882929175,0.0185867882514448,0.0185867873438572,0.018586785963313,0.0185867874708132,0.0185867868042316,0.0185867881878201,0.018586787419231428,7.662515170077567e-10,8.368352354921159e-10,5.16569249181531e-10
-795000,795000,0.0189362134332593,0.0189362130938353,0.0189362137780854,0.0189362137380445,0.0189362132716799,0.0189362125042136,0.0189362134179671,0.0189362129609055,0.0189362136491464,0.018936213301734714,4.104587361702528e-10,4.3101634698953603e-10,3.221045999368677e-10
-794000,794000,0.0191765709086296,0.0191765704755658,0.0191765713118356,0.0191765710918695,0.019176570685781,0.0191765698462852,0.0191765708794694,0.0191765702748946,0.0191765710812179,0.019176570705864877,4.562458408001026e-10,4.992732725275897e-10,3.130273002610595e-10
-793000,793000,0.0194971532207919,0.0194971523236084,0.0194971538690559,0.0194971538986531,0.0194971527558025,0.0194971510207393,0.019497152795269,0.0194971520669188,0.0194971538205704,0.019497152818827176,9.566052497848747e-10,1.0376267356972461e-09,6.630626013526264e-10
-792000,792000,0.0197337807740703,0.0197337812928654,0.0197337805116845,0.0197337805012486,0.0197337811107268,0.0197337819811663,0.0197337811826735,0.0197337813918565,0.019733780463154,0.01973378105442195,4.999191964404513e-10,5.731633718268482e-10,3.726298505868364e-10
-791000,791000,0.0199183454144854,0.019918344724205,0.0199183458826735,0.019918345806406,0.0199183450081223,0.0199183437890171,0.0199183450919066,0.0199183444767721,0.01991834580386,0.019918345072870325,6.944364687329324e-10,7.739139936720806e-10,4.372756011450374e-10
-790000,790000,0.0201840446980774,0.0201840452579705,0.0201840442134854,0.0201840444772347,0.020184045127255,0.0201840461805921,0.0201840447781814,0.0201840455006115,0.0201840445135661,0.020184045006112088,6.025532692384445e-10,6.767243246475731e-10,4.568847990910063e-10
-789000,789000,0.0203207200941686,0.0203207203564968,0.0203207201018582,0.020320719907614,0.0203207202187288,0.0203207205808505,0.0203207205643528,0.0203207203002745,0.0203207198302013,0.02032072023254711,2.5886652141938213e-10,2.935310691437041e-10,2.342170502683816e-10
-788000,788000,0.0204762867068463,0.0204762873169357,0.0204762860061845,0.0204762863719319,0.0204762870964405,0.020476288443107,0.0204762865676908,0.0204762876114214,0.0204762865059212,0.020476286989954125,7.398039846857604e-10,7.921237127502566e-10,4.998417998947069e-10
-787000,787000,0.0205929180310535,0.0205929187415067,0.0205929176195095,0.0205929175890928,0.0205929184750067,0.020592919713298,0.020592918517316,0.0205929189092353,0.0205929175821581,0.020592918393390388,7.11981380724333e-10,7.988776552800485e-10,4.675789512520456e-10
-786000,786000,0.0207054880938703,0.0207054881426118,0.0207054881439707,0.0207054880487549,0.0207054881358772,0.0207054881551756,0.0207054882514995,0.020705488112354,0.0207054880278228,0.020705488127258313,6.43009635995986e-11,7.245255810861721e-11,4.9420948236567064e-11
-785000,785000,0.0207336162713223,0.0207336170234094,0.0207336155283319,0.0207336158404048,0.0207336167071495,0.0207336182614775,0.0207336163081114,0.0207336173305337,0.0207336159410522,0.0207336166175588,8.461194922222905e-10,9.142198357790734e-10,5.894087995450548e-10
-784000,784000,0.0207680789413702,0.0207680792311165,0.0207680788644787,0.0207680787517675,0.0207680791616862,0.0207680795683527,0.0207680792640511,0.0207680792818524,0.0207680787277433,0.02076807910638105,2.773354241235013e-10,3.2271274881309106e-10,2.55031150711571e-10
-783000,783000,0.0207750405080034,0.0207750408030112,0.0207750402081292,0.020775040302228,0.0207750406862828,0.0207750413072038,0.0207750405113059,0.0207750409241236,0.020775040367486,0.020775040638721314,3.438780968041401e-10,3.678849246733651e-10,2.50391599815325e-10
-782000,782000,0.0207537716718665,0.02075377165862,0.0207537715940107,0.0207537717442807,0.0207537716973718,0.0207537716909408,0.0207537714935289,0.0207537717204418,0.0207537717724074,0.02075377167145026,8.423635441766447e-11,8.423738279528214e-11,6.049474983449432e-11
-781000,781000,0.0206491664696615,0.0206491662791486,0.0206491667392085,0.0206491665902547,0.0206491663625292,0.0206491658730893,0.0206491665725207,0.0206491661710067,0.0206491665340353,0.020649166390224127,2.608413092822509e-10,2.7266918660821286e-10,1.5555304960779281e-10
-780000,780000,0.0205804741191816,0.0205804742044164,0.0205804738017203,0.0205804740844353,0.0205804742019094,0.0205804745474499,0.020580473735967,0.0205804743580385,0.0205804742096906,0.020580474142953428,2.517659398093729e-10,2.5288572142723403e-10,1.6468294956883955e-10
-779000,779000,0.0204612972171382,0.0204612969397103,0.0204612975640234,0.0204612973577509,0.0204612970157475,0.0204612963829722,0.0204612973267563,0.0204612967699151,0.0204612972934161,0.020461297081286474,3.577107878285855e-10,3.826391233939772e-10,2.394092996765851e-10
-778000,778000,0.0202567175630923,0.0202567169040813,0.0202567180804733,0.0202567180889973,0.0202567172357775,0.0202567158870673,0.0202567172408093,0.020256716741521,0.0202567180328552,0.020256717276447775,7.277492439164805e-10,7.821662516442502e-10,5.21643001363814e-10
-777000,777000,0.0200684768334561,0.0200684761988179,0.0200684773772502,0.0200684770763765,0.0200684763181933,0.020068475170003,0.0200684767413234,0.0200684758681868,0.0200684770517428,0.02006847647523674,6.847785595331224e-10,7.728148471362257e-10,5.29528450601835e-10
-776000,776000,0.0198217967645414,0.0198217962067861,0.0198217973274498,0.0198217971197713,0.0198217965065436,0.0198217953007739,0.0198217966970333,0.0198217960041129,0.0198217970639843,0.019821796528306897,6.31401641739379e-10,6.741474416862781e-10,4.564925989297697e-10
-775000,775000,0.0195347353234513,0.0195347347112313,0.0195347359595071,0.0195347357199365,0.0195347348501709,0.019534733564415,0.0195347353633099,0.0195347343885145,0.0195347355809177,0.019534735017250362,7.455447864269126e-10,8.05975212678035e-10,5.427502006855045e-10
-774000,774000,0.019197510417547,0.0191975099064162,0.0191975108853044,0.0191975106258362,0.0191975101035503,0.0191975091210824,0.0191975103372261,0.0191975096796798,0.0191975106232662,0.019197510160295198,5.439028395367069e-10,6.016716614646043e-10,3.908770494776004e-10
-773000,773000,0.0188351955899789,0.0188351959551994,0.0188351953556518,0.0188351953888314,0.0188351958692674,0.0188351964802185,0.018835195798805,0.0188351960847239,0.0188351953849364,0.018835195789704225,3.7258990006443827e-10,4.227451223668119e-10,2.568078007192387e-10
-772000,772000,0.0184614951035848,0.0184614952380368,0.0184614949212816,0.0184614951197384,0.018461495212295,0.0184614954638765,0.0184614950091616,0.0184614953514368,0.0184614951210755,0.018461495179612774,1.649283964633535e-10,1.8160845050497335e-10,1.215811010896184e-10
-771000,771000,0.0180079404757304,0.0180079411545014,0.0180079399677396,0.0180079399743581,0.0180079408731818,0.0180079421637573,0.0180079408276421,0.0180079413521975,0.0180079400138304,0.018007940790901025,7.321448951688434e-10,7.971001636127259e-10,5.046815482884215e-10
-770000,770000,0.0174984235337862,0.0174984239869945,0.0174984231049189,0.0174984233592017,0.0174984238645642,0.0174984246952643,0.0174984235620422,0.0174984242307942,0.017498423374738,0.01749842377231475,4.918076436485735e-10,5.4659914767332e-10,3.798226507617519e-10
-769000,769000,0.0170743088046823,0.0170743089951371,0.0170743086074994,0.0170743086863193,0.0170743089386533,0.0170743093084933,0.0170743087945112,0.0170743091066032,0.0170743087180678,0.017074308894410577,2.2228644958935941e-10,2.3971322264646435e-10,1.6221290109752484e-10
