obliquity_deg,eccentricity,temperature,ice,co2,regolith,memory,direction,mode
40.0,0.15,0.3919604348904935,1.7935520477866131e-06,270.2947861651206,0.8,0.4,forward,classic
40.0,0.16,0.4537961213214798,8.718195731418034e-07,268.7947164119647,0.8,0.4,forward,classic
40.0,0.17,0.519944554633357,4.112377444810239e-07,267.199238905868,0.8,0.4,forward,classic
40.0,0.18,0.5904705508351066,1.8801403342956825e-07,265.5086057676309,0.8,0.4,forward,classic
40.0,0.19,0.6654434522029339,8.320756217030079e-08,263.7231008975624,0.8,0.4,forward,classic
40.0,0.2,0.744937478531188,3.559749634983167e-08,261.84303733766376,0.8,0.4,forward,classic
40.0,0.0,-0.06379298758828271,0.004704167759529664,281.61220699612545,0.8,0.4,reverse,classic
40.0,0.01,-0.056897017864653524,0.003207108720035838,281.43748218930557,0.8,0.4,reverse,classic
40.0,0.02,-0.04761783892582623,0.002151081130702103,281.2025445160924,0.8,0.4,reverse,classic
40.0,0.03,-0.035557661258925115,0.0014178945255482525,280.8974883642022,0.8,0.4,reverse,classic
40.0,0.04,-0.02040903403346167,0.0009176028995939415,280.5147802904893,0.8,0.4,reverse,classic
40.0,0.05,-0.0019349102960415172,0.0005825098364908799,280.0487639852631,0.8,0.4,reverse,classic
40.0,0.06,0.020047116934248627,0.0003624319631046694,279.4952681190331,0.8,0.4,reverse,classic
40.0,0.07,0.04567767621556677,0.00022083887759392673,278.8512853548659,0.8,0.4,reverse,classic
