time_years,elapsed_years,eccentricity,obliquity_deg,long_peri_moving_rad,insolation_65n_solstice_w_m2,spin_x,spin_y,spin_z
-17383000,17383000,0.044764752412407,23.160291830823567,5.090919053275104,450.89752329900864,-0.3412152278650133,0.13388356292674633,0.9304017196088296
-17384000,17384000,0.0452455011421774,23.119923712351724,4.9576950879582675,448.16059697983707,-0.3507328441841204,0.10007073693414653,0.9311134837494162
-17385000,17385000,0.045652101417228,23.08141772021568,4.8212032293529745,446.20937716150627,-0.3571953852248864,0.06558653142302429,0.9317241349615999
-17386000,17386000,0.0460703169195588,23.04467497961366,4.686207283938344,445.05618723713036,-0.36055952456772783,0.030704417138743112,0.9322306946307143
-17387000,17387000,0.0464162197421626,23.009631141732655,4.55039261936799,444.7815739820795,-0.36080630355603643,-0.004299667335732928,0.9326308616891419
-17388000,17388000,0.046748887286936,22.976259177021767,4.414426821911704,445.34569754864896,-0.35794123122776383,-0.039149467469995446,0.9329230376531433
-17389000,17389000,0.0471240771557004,22.944398461209204,4.278262515190931,446.6980847302952,-0.3519940866839943,-0.0735708645252972,0.9331063663015601
-17390000,17390000,0.0473341248363511,22.913954005915844,4.141454655669638,448.98398088403235,-0.3430187352491189,-0.10729332217193091,0.9331807382738915
-17391000,17391000,0.047627608885666,22.884818686558425,4.00532724895594,451.9482782282881,-0.3310926251090046,-0.14005249880470103,0.9331468111594163
-17392000,17392000,0.0478487175398723,22.856883148082183,3.868776808338673,455.6704179690955,-0.3163161360272602,-0.17159244747934305,0.9330059667852252
-17393000,17393000,0.048006586588463,22.830107605813666,3.7308864778402784,460.1028993458834,-0.2988117743887362,-0.20166700738124677,0.9327603881064779
-17394000,17394000,0.0481822283641289,22.804420270499232,3.5943122508535925,465.0254594741562,-0.27872300203994543,-0.2300422980684103,0.9324130142985163
-17395000,17395000,0.0482644678316192,22.779605387723993,3.457527503929329,470.4282894777028,-0.2562133233302001,-0.2564981904725479,0.931967494729512
-17396000,17396000,0.0483805951098451,22.7558053812912,3.318470002941702,476.26498137599174,-0.23146470640921665,-0.2808301197218426,0.9314282224325774
-17397000,17397000,0.0483805632664513,22.732653022044076,3.1817079947043174,482.2191274938201,-0.2046764128976965,-0.30285065845348186,0.9308002173815948
-17398000,17398000,0.0483750655107617,22.71045444898,3.04351914668089,488.32222566938964,-0.17606328311950825,-0.32239093917861444,0.9300891369501694
-17399000,17399000,0.0483953796998885,22.688719301272794,2.9051124547420373,494.39535740078344,-0.1458536721131553,-0.3393021280768742,0.9293012279199961
-17400000,17400000,0.0482479324221351,22.66761607892982,2.7666197000547528,500.231447394978,-0.11428836281763807,-0.3534561276874994,0.9284432863264304
-17401000,17401000,0.0481304801403727,22.646899950615513,2.6279293630883283,505.7577803269554,-0.08161820099098692,-0.36474694336898067,0.9275225800863182
-17402000,17402000,0.0480353618167961,22.62642049341266,2.4896274211131253,510.83630889104023,-0.04810175344980147,-0.37309136277779525,0.9265468451922235
-17403000,17403000,0.047739863597308,22.606128304868623,2.349759692903746,515.2546686251857,-0.014004188931728643,-0.3784294741370626,0.9255241843391834
