sheet,context,landing_solution,condition,concentration_mM_if_encoded,replicate,elution_fraction,fluorescence
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,33,3882.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,34,3229.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,35,2812.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,36,2720.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,37,4092.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,38,2007.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,39,5468.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,40,1950.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,41,3679.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,42,2397.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,43,4247.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,44,2761.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,45,1748.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,a,46,1104.0
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,1,1924.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,2,2674.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,3,3777.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,4,3391.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,5,80623.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,6,312250.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,7,433102.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,8,324180.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,9,165618.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,10,64131.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,11,28948.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,12,13399.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,13,17163.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,14,31626.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,15,73328.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,16,133534.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,17,210937.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,18,308468.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,19,396255.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,20,435536.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,21,418484.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,22,356308.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,23,289498.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,24,198439.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,25,123593.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,26,74935.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,27,41496.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,28,21289.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,29,9514.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,30,4765.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,31,2522.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,32,2105.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,33,1054.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,34,1088.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,35,668.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,36,10.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,37,-137.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,38,369.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,39,-254.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,40,191.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,41,163.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,42,1357.5
Fig 1A & S9,2:1 decanoic acid:decanol (C10:0),2:1 decanoic acid:decanol,0.5,0.5,b,43,-1121.5
